class,sound_duration_ms,n_pulses,pulse_strength,flatness,centroid_hz
other,38132.424999999996,207.5,0.5994999999999999,0.09,909.1500000000001
silence,688.0550000000001,136.5,0.6545000000000001,0.02,648.55
vocal,641.85,130.0,0.582,0.02,519.7
water,960.19,116.0,0.474,0.13,866.96
