full_duration_ms,sound_duration_ms,n_pulses,pulse_rate_hz,pulse_strength,rms,centroid_hz,bandwidth_hz,dominant_hz,flatness,class
679.84,679.84,143,50.0,0.518,0.00011,496.52,506.41,50.01,0.02,vocal
648.38,648.38,135,50.0,0.607,0.0001,551.82,518.62,50.9,0.03,vocal
663.41,663.41,144,50.0,0.68,0.0001,629.41,565.12,51.25,0.04,vocal
644.61,642.78,90,50.0,0.454,0.00011,559.53,516.26,51.34,0.04,vocal
655.43,654.95,95,400.0,0.467,0.00012,457.92,468.74,50.39,0.03,vocal
655.9,655.17,95,50.0,0.549,0.00011,445.21,470.19,50.37,0.03,vocal
644.62,644.62,139,50.0,0.483,0.0001,569.3,526.09,51.19,0.04,vocal
646.03,646.03,130,400.0,0.362,0.00011,522.32,508.35,51.08,0.03,vocal
664.81,664.81,127,400.0,0.416,0.00011,510.67,516.66,51.14,0.03,vocal
658.83,658.76,135,50.0,0.584,0.0001,607.45,564.34,50.09,0.02,vocal
649.31,649.31,135,50.0,0.63,0.0001,614.25,543.2,50.82,0.03,vocal
634.29,634.29,131,50.0,0.622,0.0001,575.97,554.36,50.45,0.03,vocal
631.94,631.94,130,50.0,0.519,0.0001,582.35,529.49,50.64,0.03,vocal
647.44,647.44,133,50.0,0.493,0.0001,607.9,544.64,50.97,0.03,vocal
646.97,646.97,122,50.0,0.359,0.00011,504.65,485.42,51.01,0.04,vocal
643.68,643.68,133,25.0,0.364,0.00011,519.7,507.93,51.27,0.03,vocal
633.82,633.82,133,50.0,0.546,0.0001,589.0,553.31,50.49,0.02,vocal
671.39,671.39,146,50.0,0.37,0.00011,552.82,547.44,50.64,0.02,vocal
659.66,659.66,139,50.0,0.453,0.00011,571.99,551.05,50.03,0.02,vocal
675.62,675.62,140,50.0,0.673,0.0001,648.02,569.54,50.32,0.02,vocal
643.21,643.21,139,50.0,0.503,0.0001,600.22,537.55,51.31,0.04,vocal
633.81,633.81,139,50.0,0.49,0.0001,569.39,541.08,50.49,0.02,vocal
645.08,644.74,138,50.0,0.512,0.0001,594.05,550.37,51.18,0.03,vocal
637.1,637.1,137,50.0,0.578,0.00012,568.22,547.84,50.23,0.02,vocal
630.05,630.05,137,50.0,0.54,0.00012,619.42,556.92,50.79,0.02,vocal
638.48,638.48,142,50.0,0.515,0.00012,600.63,555.05,50.12,0.01,vocal
631.94,631.94,135,50.0,0.586,0.00012,659.51,577.63,50.64,0.02,vocal
642.74,642.74,141,50.0,0.625,0.00012,600.26,549.95,51.34,0.03,vocal
623.02,623.02,133,50.0,0.647,0.00012,672.38,561.61,51.36,0.03,vocal
641.05,641.05,140,50.0,0.726,0.00012,717.05,562.74,51.48,0.03,vocal
633.11,633.11,134,50.0,0.708,0.00011,653.26,564.06,50.54,0.02,vocal
636.53,636.53,135,50.0,0.657,0.00012,645.07,568.9,50.27,0.01,vocal
626.3,626.3,133,50.0,0.621,0.00012,713.18,585.5,51.09,0.03,vocal
630.05,629.38,131,50.0,0.554,0.00012,671.98,588.4,50.84,0.02,vocal
634.76,634.76,133,50.0,0.602,0.00012,618.87,553.6,50.41,0.02,vocal
622.54,622.54,134,50.0,0.543,0.00012,609.39,550.99,51.4,0.03,vocal
635.46,635.11,136,50.0,0.485,0.00012,564.88,542.52,50.38,0.01,vocal
654.01,654.01,140,50.0,0.468,0.00013,571.43,546.7,50.46,0.01,vocal
649.89,649.89,135,50.0,0.487,0.00012,585.11,549.14,50.78,0.02,vocal
632.76,632.76,136,50.0,0.45,0.00012,626.98,563.95,50.57,0.02,vocal
625.24,625.24,133,50.0,0.486,0.00012,626.31,555.35,51.18,0.03,vocal
642.01,642.01,135,50.0,0.412,0.00013,623.33,551.51,51.4,0.03,vocal
647.66,647.66,134,50.0,0.472,0.00013,589.94,549.29,50.95,0.02,vocal
623.42,623.42,134,50.0,0.61,0.00012,640.57,565.21,51.33,0.03,vocal
627.56,627.56,135,50.0,0.481,0.00012,625.39,562.33,50.99,0.02,vocal
681.7,681.7,147,50.0,0.473,0.00012,610.57,548.06,51.34,0.03,vocal
616.94,616.94,133,50.0,0.479,0.00012,561.42,541.09,50.25,0.02,vocal
640.84,640.78,137,50.0,0.31,0.00013,568.46,521.85,51.5,0.04,vocal
643.18,643.18,139,25.0,0.352,0.00012,555.31,522.84,51.31,0.04,vocal
643.99,643.99,149,50.0,0.658,0.00012,669.68,561.2,51.24,0.03,vocal
618.9,618.9,132,50.0,0.64,0.00012,612.12,561.59,50.09,0.01,vocal
669.3,669.3,147,50.0,0.615,0.00012,640.63,564.65,50.8,0.02,vocal
649.43,649.43,145,50.0,0.548,0.00012,603.04,545.37,50.81,0.02,vocal
631.99,631.99,139,50.0,0.474,0.00012,586.57,550.58,50.63,0.02,vocal
621.8,621.71,137,50.0,0.514,0.00012,628.48,558.66,51.47,0.03,vocal
619.88,619.88,136,50.0,0.56,0.00012,624.32,561.97,50.01,0.01,vocal
640.23,640.08,142,50.0,0.543,0.00012,605.69,535.71,51.56,0.05,vocal
619.88,619.88,135,50.0,0.561,0.00012,639.54,566.57,50.01,0.01,vocal
613.57,613.57,131,50.0,0.564,0.00012,571.15,535.14,50.52,0.02,vocal
637.31,637.31,145,50.0,0.54,0.00012,607.85,561.43,50.21,0.01,vocal
628.59,628.59,141,50.0,0.607,0.00012,646.41,564.08,50.91,0.02,vocal
622.18,622.18,108,50.0,0.423,0.00012,677.6,557.32,51.43,0.03,vocal
640.23,640.23,140,50.0,0.559,0.00012,629.56,554.62,51.54,0.04,vocal
652.58,652.58,143,50.0,0.503,0.00012,612.93,559.22,50.57,0.02,vocal
643.85,643.85,136,50.0,0.667,0.00012,664.28,569.84,51.25,0.03,vocal
632.47,632.47,135,50.0,0.438,0.00012,573.92,544.85,50.6,0.02,vocal
657.43,657.43,146,50.0,0.492,0.00012,566.97,553.6,50.2,0.02,vocal
633.2,633.2,140,50.0,0.474,0.00012,601.59,565.23,50.54,0.02,vocal
636.58,636.58,140,25.0,0.427,0.00012,569.58,547.38,50.27,0.02,vocal
616.96,616.81,133,50.0,0.447,0.00012,577.86,559.35,50.26,0.02,vocal
635.86,635.86,136,50.0,0.475,0.00012,581.4,567.16,50.33,0.01,vocal
633.68,633.64,135,50.0,0.456,0.00012,550.58,547.75,50.5,0.02,vocal
613.81,613.81,136,50.0,0.688,0.00011,625.35,562.09,50.5,0.02,vocal
624.47,624.47,131,50.0,0.433,0.00012,660.26,566.03,51.24,0.03,vocal
635.14,635.14,138,50.0,0.592,0.00012,658.33,578.31,50.38,0.02,vocal
635.61,635.61,118,50.0,0.492,0.00012,646.93,574.62,50.34,0.02,vocal
696.93,696.93,143,50.0,0.472,0.00012,558.47,557.08,50.22,0.02,vocal
617.45,617.45,135,50.0,0.47,0.00012,589.97,554.24,50.21,0.02,vocal
640.22,640.22,136,50.0,0.467,0.00011,669.55,569.3,51.54,0.04,vocal
630.04,630.04,139,50.0,0.595,0.00012,652.19,562.59,50.79,0.02,vocal
629.15,629.15,135,50.0,0.596,0.00012,614.12,556.7,50.86,0.02,vocal
621.77,621.77,134,50.0,0.631,0.00012,719.13,564.08,51.47,0.03,vocal
643.61,643.61,136,50.0,0.555,0.00012,651.24,558.23,51.27,0.03,vocal
655.98,655.98,138,50.0,0.483,0.00012,577.18,548.41,50.31,0.01,vocal
649.62,649.62,136,50.0,0.606,0.00012,584.54,538.11,50.8,0.02,vocal
643.88,643.88,137,50.0,0.64,0.00012,665.42,559.65,51.25,0.03,vocal
641.93,641.93,137,50.0,0.634,0.00012,663.56,566.59,51.41,0.04,vocal
618.18,618.18,129,50.0,0.586,0.00012,646.59,571.04,50.15,0.01,vocal
640.71,640.71,133,50.0,0.627,0.00012,643.99,560.63,51.51,0.04,vocal
627.15,627.15,135,50.0,0.586,0.00013,637.08,558.72,51.02,0.02,vocal
634.89,634.7,138,50.0,0.531,0.00013,553.79,532.22,50.42,0.02,vocal
640.96,640.96,138,50.0,0.41,0.00013,590.03,537.0,51.49,0.04,vocal
617.94,617.94,133,50.0,0.481,0.00012,585.09,552.43,50.17,0.02,vocal
627.15,627.15,131,50.0,0.49,0.00012,641.97,560.49,51.02,0.03,vocal
631.5,631.5,137,50.0,0.534,0.00012,595.21,551.43,50.67,0.02,vocal
645.56,645.56,138,50.0,0.654,0.00012,664.96,565.33,51.12,0.02,vocal
