full_duration_ms,sound_duration_ms,n_pulses,pulse_rate_hz,pulse_strength,rms,centroid_hz,bandwidth_hz,dominant_hz,flatness,class
600.98,600.98,120,50.0,0.746,1e-05,929.06,546.71,99.84,0.24,click
602.83,602.83,54,50.0,0.638,1e-05,909.41,509.98,99.53,0.25,click
601.4,601.4,133,50.0,0.743,1e-05,922.06,537.39,99.77,0.22,click
602.65,602.65,132,50.0,0.72,1e-05,890.04,528.31,99.56,0.2,click
601.35,601.35,84,50.0,0.731,1e-05,943.08,539.23,99.77,0.23,click
601.32,601.32,133,50.0,0.733,1e-05,904.5,540.03,99.78,0.2,click
602.47,602.47,134,50.0,0.783,1e-05,909.1,531.85,99.59,0.19,click
601.31,601.31,132,50.0,0.79,1e-05,898.85,528.61,99.78,0.2,click
602.8,602.67,1,50.0,0.478,1e-05,1059.96,549.55,99.56,0.38,click
603.58,602.56,1,50.0,0.449,1e-05,905.92,539.93,99.57,0.21,click
601.03,601.03,131,50.0,0.718,1e-05,918.4,530.97,99.83,0.22,click
601.16,601.16,131,50.0,0.716,1e-05,919.59,530.66,99.81,0.22,click
602.79,602.15,44,50.0,0.677,1e-05,900.99,515.38,99.64,0.23,click
600.92,600.71,101,50.0,0.745,1e-05,941.32,534.24,99.88,0.23,click
602.68,602.61,41,50.0,0.627,1e-05,907.9,519.49,99.57,0.24,click
602.03,602.03,125,16.7,0.651,1e-05,892.46,536.52,99.66,0.21,click
601.39,601.39,105,50.0,0.721,1e-05,940.8,534.4,99.77,0.23,click
601.07,601.07,131,50.0,0.731,1e-05,896.67,537.5,99.82,0.21,click
600.84,600.84,133,50.0,0.712,1e-05,868.22,541.55,99.86,0.2,click
601.3,589.94,1,50.0,0.555,1e-05,1072.27,547.46,100.01,0.34,click
602.27,602.18,32,50.0,0.673,1e-05,874.84,512.32,99.64,0.23,click
600.86,600.86,122,50.0,0.72,1e-05,934.47,544.65,99.86,0.23,click
601.17,601.17,130,50.0,0.783,1e-05,895.24,541.76,99.81,0.2,click
602.88,602.88,46,50.0,0.626,1e-05,887.96,512.78,99.52,0.23,click
601.84,601.84,1,50.0,0.501,1e-05,1091.98,551.25,99.69,0.34,click
674.99,674.92,44,400.0,0.806,2e-05,600.02,569.15,81.49,0.08,vocal
600.83,600.2,109,50.0,0.715,1e-05,928.01,534.04,99.97,0.24,click
602.01,602.01,45,50.0,0.608,1e-05,905.72,514.67,99.67,0.25,click
