start_s,end_s,duration_s,class,confidence
0.045,0.11,0.065,other,0.7847
0.185,0.19,0.005,other,0.6681
0.3,0.32,0.02,vocal,0.6833
0.43,0.44,0.01,vocal,0.6755
0.545,0.57,0.025,vocal,0.387
0.615,0.63,0.015,vocal,0.4513
0.775,0.79,0.015,vocal,0.4553
1.325,1.34,0.015,other,0.4428
1.47,1.55,0.08,vocal,0.7537
1.715,1.79,0.075,other,0.7687
2.045,2.05,0.005,vocal,0.3118
2.12,2.13,0.01,vocal,0.4145
2.205,2.21,0.005,other,0.4743
2.28,2.33,0.05,other,0.8307
2.875,2.9,0.025,other,0.8184
2.955,3.04,0.085,other,0.9462
3.455,3.46,0.005,vocal,0.3859
3.645,3.69,0.045,click,0.6338
3.755,3.76,0.005,other,0.3338
3.84,3.855,0.015,vocal,0.9647
4.675,4.69,0.015,other,0.2929
5.275,5.285,0.01,vocal,0.4945
5.615,5.71,0.095,click,0.5386
5.775,5.78,0.005,silence,0.625
6.175,6.18,0.005,vocal,0.4058
8.36,8.365,0.005,click,0.4578
8.46,8.565,0.105,other,0.8851
8.61,8.645,0.035,other,0.892
8.71,8.745,0.035,other,0.6329
8.84,8.865,0.025,other,0.9197
9.04,9.045,0.005,silence,0.5592
9.41,9.415,0.005,silence,0.4019
9.95,9.995,0.045,other,0.9626
10.04,10.045,0.005,click,0.6803
10.42,10.605,0.185,other,0.9826
10.725,10.735,0.01,other,0.6379
10.97,10.975,0.005,silence,0.5599
11.11,11.37,0.26,other,0.9707
11.635,11.64,0.005,silence,0.3456
11.715,11.72,0.005,other,0.3206
12.515,12.7,0.185,other,0.9898
12.775,12.785,0.01,other,0.7719
12.835,12.855,0.02,other,0.8255
13.115,13.14,0.025,click,0.5329
13.71,13.84,0.13,other,0.5304
13.965,14.01,0.045,other,0.7296
14.465,14.47,0.005,other,0.3354
14.565,14.57,0.005,silence,0.5565
15.275,15.28,0.005,silence,0.4565
15.935,15.985,0.05,other,0.9785
16.41,16.455,0.045,other,0.982
16.61,16.625,0.015,vocal,0.3538
17.07,17.105,0.035,other,0.3586
17.24,17.245,0.005,other,0.3615
17.58,17.585,0.005,click,0.5723
17.66,17.69,0.03,other,0.6095
17.8,17.805,0.005,click,0.7107
17.905,17.945,0.04,other,0.4334
18.01,18.015,0.005,vocal,0.3813
18.11,18.115,0.005,silence,0.3809
18.22,18.225,0.005,other,0.3364
18.34,18.345,0.005,silence,0.5351
19.455,19.46,0.005,silence,0.4862
19.56,19.57,0.01,vocal,0.4264
19.76,19.88,0.12,other,0.8563
19.945,20.05,0.105,silence,0.4545
20.115,20.12,0.005,other,0.3213
20.245,20.25,0.005,vocal,0.4555
20.505,20.51,0.005,vocal,0.3936
20.74,20.75,0.01,other,0.4628
21.035,21.04,0.005,silence,0.3497
21.1,21.2,0.1,click,0.8993
21.285,21.29,0.005,silence,0.348
21.335,21.38,0.045,other,0.544
21.445,21.45,0.005,vocal,0.471
21.675,21.68,0.005,silence,0.3911
21.765,21.77,0.005,silence,0.3197
22.155,22.16,0.005,silence,0.4941
22.335,22.34,0.005,silence,0.3193
23.395,23.4,0.005,vocal,0.4948
23.76,23.765,0.005,vocal,0.5139
23.9,23.905,0.005,vocal,0.5778
24.1,24.105,0.005,other,0.6795
24.26,24.265,0.005,vocal,0.5326
24.34,24.385,0.045,other,0.4391
24.62,24.625,0.005,other,0.3945
24.68,24.685,0.005,vocal,0.4152
24.75,24.755,0.005,vocal,0.5554
24.8,24.86,0.06,other,0.6457
24.92,24.925,0.005,silence,0.5442
25.19,25.245,0.055,other,0.7551
25.39,25.395,0.005,silence,0.3402
25.55,25.625,0.075,vocal,0.9538
25.67,25.705,0.035,vocal,0.646
25.78,25.785,0.005,silence,0.4554
26.01,26.055,0.045,vocal,0.4331
26.11,26.115,0.005,vocal,0.4083
26.35,26.355,0.005,silence,0.5854
26.65,26.655,0.005,silence,0.4376
26.73,26.735,0.005,silence,0.4737
27.03,27.035,0.005,silence,0.4957
27.675,27.715,0.04,vocal,0.6565
27.8,27.805,0.005,silence,0.2705
28.33,28.345,0.015,water,0.5934
28.915,28.92,0.005,vocal,0.6099
29.245,29.26,0.015,vocal,0.5475
29.315,29.32,0.005,silence,0.4312
29.395,29.4,0.005,silence,0.3723
