start_s,end_s,duration_s,class,confidence
29.455,29.46,0.005,vocal,0.6438
29.52,29.55,0.03,vocal,0.8306
29.595,29.62,0.025,other,0.9017
29.67,29.69,0.02,click,0.8026
29.905,29.94,0.035,other,0.7029
30.135,30.19,0.055,other,0.8838
30.24,30.38,0.14,other,0.959
30.795,30.81,0.015,click,0.4183
30.945,30.97,0.025,other,0.7749
31.045,31.05,0.005,silence,0.4017
31.135,31.14,0.005,silence,0.3781
31.185,31.26,0.075,vocal,0.5769
31.765,31.77,0.005,silence,0.3538
31.825,31.83,0.005,silence,0.3601
31.985,31.99,0.005,silence,0.4814
32.505,32.51,0.005,silence,0.6435
32.965,33.05,0.085,other,0.4585
33.33,33.35,0.02,click,0.7124
33.82,33.86,0.04,other,0.8375
33.975,34.08,0.105,other,0.6263
35.65,35.655,0.005,vocal,0.3895
35.72,35.725,0.005,silence,0.4629
36.51,36.515,0.005,silence,0.3444
36.58,36.585,0.005,silence,0.4506
38.16,38.165,0.005,vocal,0.3916
38.34,38.345,0.005,silence,0.5971
38.56,38.565,0.005,silence,0.3374
38.62,38.625,0.005,silence,0.4503
38.86,38.865,0.005,silence,0.4405
39.12,39.125,0.005,other,0.3578
39.38,39.385,0.005,silence,0.5155
41.24,41.245,0.005,vocal,0.6645
41.5,41.505,0.005,vocal,0.5941
42.88,42.885,0.005,vocal,0.4379
43.52,43.565,0.045,other,0.8561
44.185,44.19,0.005,vocal,0.5044
44.25,44.255,0.005,vocal,0.6114
44.655,44.66,0.005,vocal,0.3479
45.16,45.265,0.105,other,0.7433
45.31,45.49,0.18,other,0.9671
45.605,45.66,0.055,other,0.8784
45.775,45.78,0.005,silence,0.2963
45.855,45.86,0.005,other,0.5013
45.925,45.93,0.005,silence,0.3206
45.985,46.05,0.065,other,0.9213
46.095,46.11,0.015,vocal,0.8395
46.215,46.26,0.045,vocal,0.6574
46.645,46.65,0.005,other,0.345
47.675,47.68,0.005,other,0.4168
47.745,47.76,0.015,vocal,0.3958
47.805,47.81,0.005,silence,0.4125
48.095,48.12,0.025,vocal,0.6969
48.185,48.19,0.005,silence,0.4111
48.365,48.37,0.005,silence,0.4784
48.475,48.48,0.005,silence,0.4685
48.595,48.6,0.005,vocal,0.3393
48.715,48.84,0.125,other,0.6667
48.895,48.9,0.005,silence,0.4071
49.065,49.07,0.005,silence,0.3884
49.115,49.2,0.085,other,0.4467
49.385,49.39,0.005,silence,0.3973
49.475,49.5,0.025,other,0.8346
49.555,49.56,0.005,silence,0.3721
49.695,49.74,0.045,other,0.5331
49.845,49.91,0.065,other,0.6819
49.96,50.02,0.06,other,0.909
50.07,50.1,0.03,other,0.9217
50.175,50.18,0.005,silence,0.3533
50.245,50.28,0.035,other,0.7603
50.335,50.36,0.025,other,0.4591
50.475,50.48,0.005,other,0.5762
50.615,50.66,0.045,other,0.6891
50.835,50.84,0.005,silence,0.5976
51.015,51.03,0.015,vocal,0.4374
51.075,51.09,0.015,click,0.4237
51.145,51.16,0.015,vocal,0.4913
51.215,51.3,0.085,other,0.307
51.355,51.36,0.005,silence,0.4966
51.415,51.42,0.005,silence,0.5187
51.475,51.52,0.045,silence,0.3712
51.575,51.74,0.165,other,0.8573
51.815,52.03,0.215,other,0.942
52.075,52.16,0.085,other,0.8283
52.235,52.38,0.145,other,0.3726
52.455,52.46,0.005,silence,0.4445
52.515,52.52,0.005,silence,0.5418
52.585,52.59,0.005,silence,0.4899
52.635,53.12,0.485,other,0.6133
53.205,53.22,0.015,silence,0.4124
53.275,53.44,0.165,other,0.9022
53.655,53.66,0.005,silence,0.4577
53.875,54.27,0.395,click,0.585
54.475,54.52,0.045,other,0.361
54.575,54.68,0.105,silence,0.6044
54.825,54.83,0.005,silence,0.5093
54.955,55.0,0.045,silence,0.3651
55.135,55.16,0.025,vocal,0.3636
55.205,55.22,0.015,silence,0.3298
55.275,55.36,0.085,vocal,0.4308
55.525,55.62,0.095,silence,0.4555
55.735,55.74,0.005,silence,0.5786
55.815,55.82,0.005,other,0.3968
55.895,55.9,0.005,silence,0.6355
56.015,56.04,0.025,vocal,0.5126
56.095,56.12,0.025,vocal,0.3381
56.195,56.26,0.065,vocal,0.5824
56.375,56.44,0.065,other,0.8124
56.515,56.52,0.005,silence,0.394
56.595,56.64,0.045,silence,0.5141
56.735,56.74,0.005,silence,0.5063
56.815,56.82,0.005,silence,0.4839
56.895,56.9,0.005,other,0.4068
57.095,57.1,0.005,other,0.5417
57.195,57.22,0.025,other,0.5335
57.345,57.38,0.035,vocal,0.4004
57.435,57.44,0.005,click,0.3934
57.495,57.5,0.005,silence,0.5789
57.565,57.59,0.025,click,0.6372
57.645,57.65,0.005,silence,0.3831
57.695,57.7,0.005,silence,0.5012
57.895,57.9,0.005,silence,0.3856
57.965,57.97,0.005,silence,0.6458
58.035,58.04,0.005,silence,0.4978
58.095,58.18,0.085,vocal,0.3219
58.315,58.36,0.045,other,0.4674
58.455,58.46,0.005,other,0.7319
58.655,58.66,0.005,vocal,0.4488
58.765,58.965,0.2,vocal,0.6701
59.175,59.22,0.045,silence,0.4794
59.455,59.52,0.065,other,0.7377
59.79,59.8,0.01,silence,0.3899
59.875,59.88,0.005,vocal,0.5496
60.135,60.16,0.025,vocal,0.589
60.275,60.28,0.005,vocal,0.6559
60.415,60.44,0.025,vocal,0.6752
60.655,60.73,0.075,other,0.7168
60.84,60.85,0.01,vocal,0.2897
61.0,61.04,0.04,click,0.336
61.46,61.465,0.005,vocal,0.5168
62.22,62.225,0.005,vocal,0.587
62.52,62.865,0.345,other,0.9636
63.0,63.005,0.005,silence,0.4554
63.24,63.245,0.005,vocal,0.4664
63.31,63.315,0.005,silence,0.4924
63.5,63.505,0.005,vocal,0.5522
63.64,63.645,0.005,vocal,0.417
63.91,63.915,0.005,silence,0.5699
64.03,64.035,0.005,silence,0.4176
64.17,64.175,0.005,silence,0.4271
64.23,64.315,0.085,silence,0.3381
64.52,64.635,0.115,silence,0.6189
64.69,64.735,0.045,vocal,0.4633
64.81,64.815,0.005,vocal,0.4413
65.05,65.055,0.005,vocal,0.379
65.25,65.295,0.045,silence,0.4234
65.39,65.395,0.005,silence,0.6585
65.46,65.465,0.005,silence,0.417
65.58,65.665,0.085,silence,0.4201
65.71,65.785,0.075,other,0.6127
65.89,65.895,0.005,other,0.5371
65.95,65.955,0.005,silence,0.4541
66.11,66.115,0.005,silence,0.4204
66.43,66.455,0.025,vocal,0.5213
66.65,66.655,0.005,vocal,0.6796
66.77,66.775,0.005,vocal,0.433
67.585,67.59,0.005,vocal,0.462
68.235,68.25,0.015,other,0.4026
68.555,68.56,0.005,silence,0.3644
68.865,68.87,0.005,silence,0.5043
69.225,69.26,0.035,vocal,0.5982
69.365,69.47,0.105,water,0.4855
69.515,69.52,0.005,silence,0.4803
69.585,69.59,0.005,silence,0.4123
69.695,69.7,0.005,silence,0.3892
69.885,69.89,0.005,silence,0.6093
69.965,69.97,0.005,silence,0.4787
70.085,70.11,0.025,other,0.4253
70.165,70.17,0.005,silence,0.6523
70.425,70.46,0.035,other,0.3352
70.505,70.51,0.005,silence,0.3707
70.605,70.65,0.045,other,0.9456
70.795,70.81,0.015,vocal,0.6567
71.325,71.38,0.055,other,0.6685
71.85,71.855,0.005,silence,0.4071
73.12,73.125,0.005,silence,0.5583
73.18,73.185,0.005,silence,0.5159
73.36,73.365,0.005,silence,0.597
73.51,73.525,0.015,vocal,0.6303
73.58,73.585,0.005,silence,0.4297
73.68,73.785,0.105,other,0.8413
73.88,73.985,0.105,vocal,0.5835
74.1,74.145,0.045,silence,0.4989
74.26,74.365,0.105,vocal,0.4437
74.42,74.425,0.005,silence,0.477
74.6,74.605,0.005,silence,0.4903
75.04,75.045,0.005,vocal,0.4637
75.1,75.105,0.005,vocal,0.5995
75.88,75.885,0.005,vocal,0.5988
76.335,76.37,0.035,vocal,0.4499
76.805,76.81,0.005,vocal,0.6125
76.905,76.91,0.005,vocal,0.598
76.96,76.97,0.01,vocal,0.551
77.055,77.06,0.005,silence,0.3799
77.135,77.14,0.005,silence,0.4063
77.295,77.3,0.005,silence,0.492
77.395,77.49,0.095,vocal,0.4999
77.655,77.66,0.005,vocal,0.3746
77.755,77.94,0.185,other,0.7802
77.995,78.1,0.105,silence,0.4432
78.155,78.16,0.005,silence,0.507
78.235,78.24,0.005,silence,0.335
78.315,78.32,0.005,silence,0.4504
78.415,78.42,0.005,silence,0.5569
78.495,78.68,0.185,silence,0.6635
78.775,78.88,0.105,silence,0.5937
79.055,79.14,0.085,other,0.6803
79.415,79.54,0.125,other,0.9195
79.655,79.66,0.005,vocal,0.3811
79.835,79.84,0.005,vocal,0.4912
79.96,79.965,0.005,silence,0.4879
80.055,80.06,0.005,vocal,0.551
80.46,80.49,0.03,other,0.6928
80.575,80.58,0.005,vocal,0.5769
80.815,80.825,0.01,vocal,0.8497
81.03,81.035,0.005,vocal,0.4168
81.18,81.225,0.045,vocal,0.4429
81.32,81.335,0.015,silence,0.3021
81.585,81.665,0.08,vocal,0.7277
81.81,81.835,0.025,vocal,0.7092
81.89,81.895,0.005,silence,0.3651
81.99,81.995,0.005,silence,0.3816
82.15,82.195,0.045,vocal,0.4861
82.33,82.335,0.005,silence,0.4002
82.42,82.425,0.005,silence,0.3584
82.52,82.575,0.055,vocal,0.6213
82.65,82.935,0.285,other,0.6953
83.03,83.115,0.085,vocal,0.5275
83.29,83.295,0.005,silence,0.3253
83.65,83.655,0.005,silence,0.3571
83.83,83.835,0.005,silence,0.4589
84.07,84.095,0.025,other,0.4438
84.25,84.275,0.025,other,0.4268
84.38,84.385,0.005,vocal,0.6732
85.24,85.485,0.245,silence,0.4712
85.69,85.695,0.005,vocal,0.542
85.79,85.85,0.06,vocal,0.5764
86.07,86.115,0.045,vocal,0.3245
86.23,86.25,0.02,other,0.7995
86.38,86.41,0.03,vocal,0.8896
86.555,86.56,0.005,vocal,0.4536
86.945,86.95,0.005,vocal,0.4995
87.085,87.09,0.005,silence,0.367
87.145,87.15,0.005,silence,0.4053
87.225,87.29,0.065,vocal,0.5663
87.335,87.38,0.045,vocal,0.3275
87.465,87.47,0.005,silence,0.365
87.525,87.55,0.025,other,0.3449
87.785,87.89,0.105,vocal,0.6656
87.955,88.27,0.315,vocal,0.5389
88.325,88.39,0.065,silence,0.3129
88.435,88.62,0.185,silence,0.4973
88.665,88.77,0.105,vocal,0.4622
88.825,88.84,0.015,vocal,0.3738
88.885,88.94,0.055,vocal,0.5459
88.985,89.03,0.045,silence,0.4494
89.125,89.6,0.475,other,0.9557
89.645,89.92,0.275,other,0.3977
90.005,90.03,0.025,vocal,0.7817
90.085,90.23,0.145,other,0.5182
90.285,90.43,0.145,vocal,0.4611
90.505,90.6,0.095,other,0.86
90.645,90.79,0.145,vocal,0.48
90.845,90.89,0.045,vocal,0.3466
90.945,90.95,0.005,silence,0.4992
90.995,91.0,0.005,other,0.5383
91.055,91.07,0.015,vocal,0.6667
91.125,91.23,0.105,click,0.5133
91.285,91.43,0.145,other,0.8008
91.505,91.55,0.045,silence,0.4058
91.725,91.73,0.005,vocal,0.4623
91.785,91.79,0.005,vocal,0.4839
91.885,92.0,0.115,vocal,0.4943
92.085,92.12,0.035,vocal,0.415
92.165,92.21,0.045,other,0.344
92.265,92.515,0.25,silence,0.4467
92.565,92.58,0.015,other,0.8813
92.665,92.67,0.005,vocal,0.5821
92.885,92.89,0.005,silence,0.3743
92.945,92.95,0.005,vocal,0.6724
93.045,93.05,0.005,vocal,0.5011
93.175,93.295,0.12,vocal,0.9181
93.445,93.45,0.005,vocal,0.6848
93.545,93.55,0.005,vocal,0.6042
93.625,93.63,0.005,vocal,0.3458
93.705,93.71,0.005,silence,0.3651
93.765,93.955,0.19,vocal,0.5658
94.205,94.23,0.025,vocal,0.6878
94.285,94.36,0.075,other,0.855
94.425,94.525,0.1,vocal,0.5043
94.575,94.585,0.01,vocal,0.4371
94.8,95.005,0.205,other,0.7139
95.14,95.145,0.005,silence,0.4341
95.285,95.325,0.04,vocal,0.7921
95.66,95.665,0.005,vocal,0.3549
95.74,95.745,0.005,vocal,0.5124
96.1,96.105,0.005,silence,0.3984
96.16,96.165,0.005,vocal,0.3455
96.52,96.525,0.005,silence,0.4143
96.58,96.585,0.005,silence,0.4821
96.66,96.665,0.005,silence,0.4102
96.92,96.945,0.025,silence,0.2808
97.0,97.005,0.005,silence,0.4012
97.1,97.205,0.105,silence,0.3676
97.29,97.405,0.115,silence,0.4669
97.46,97.485,0.025,silence,0.292
97.54,97.565,0.025,vocal,0.4717
97.63,97.885,0.255,click,0.3355
97.94,98.115,0.175,silence,0.5079
98.16,98.445,0.285,silence,0.6048
98.51,98.635,0.125,silence,0.4708
98.68,98.825,0.145,other,0.4496
98.92,99.025,0.105,silence,0.6235
99.08,99.085,0.005,silence,0.4733
99.17,99.215,0.045,other,0.3835
99.26,99.285,0.025,vocal,0.6125
99.36,99.545,0.185,silence,0.5897
99.76,99.865,0.105,silence,0.3649
99.92,99.925,0.005,vocal,0.4881
99.98,100.165,0.185,silence,0.5315
100.22,100.225,0.005,silence,0.4462
100.32,100.505,0.185,other,0.866
100.6,100.605,0.005,silence,0.5391
100.72,100.725,0.005,vocal,0.5352
100.78,100.785,0.005,silence,0.4609
100.86,100.905,0.045,other,0.3529
101.02,101.025,0.005,vocal,0.3839
101.1,101.105,0.005,vocal,0.4226
101.26,101.265,0.005,silence,0.5308
101.315,101.355,0.04,other,0.5473
101.44,101.565,0.125,vocal,0.3438
101.66,101.705,0.045,vocal,0.3623
101.76,101.925,0.165,other,0.7142
101.97,101.975,0.005,vocal,0.48
102.1,102.105,0.005,other,0.4176
102.19,102.275,0.085,other,0.3941
102.32,102.345,0.025,vocal,0.6788
102.455,102.605,0.15,other,0.9112
103.48,103.485,0.005,vocal,0.5345
103.555,103.56,0.005,vocal,0.6284
103.715,103.72,0.005,vocal,0.6064
103.775,103.78,0.005,vocal,0.4769
104.045,104.05,0.005,silence,0.4772
104.265,104.27,0.005,silence,0.4687
104.535,104.54,0.005,silence,0.4469
104.685,104.69,0.005,silence,0.4839
104.735,104.82,0.085,vocal,0.7455
104.875,104.92,0.045,other,0.3653
104.965,105.06,0.095,silence,0.4124
105.115,105.24,0.125,silence,0.4009
105.295,105.3,0.005,silence,0.5243
105.345,105.4,0.055,vocal,0.4273
105.475,105.48,0.005,silence,0.5266
105.535,105.62,0.085,vocal,0.4839
105.675,105.68,0.005,silence,0.5921
105.735,105.86,0.125,click,0.5034
105.975,105.99,0.015,click,0.4294
106.065,106.07,0.005,silence,0.3102
106.125,106.18,0.055,vocal,0.4774
106.235,106.28,0.045,silence,0.4555
106.395,106.4,0.005,silence,0.3504
106.495,106.5,0.005,vocal,0.4169
106.555,106.58,0.025,click,0.3424
106.655,106.76,0.105,silence,0.3823
106.815,106.86,0.045,vocal,0.5732
106.915,107.0,0.085,silence,0.4465
107.075,107.08,0.005,vocal,0.535
107.165,107.18,0.015,vocal,0.378
107.235,107.26,0.025,click,0.5363
107.315,107.32,0.005,silence,0.5622
107.395,107.46,0.065,vocal,0.5814
107.535,107.54,0.005,silence,0.3614
107.7,107.715,0.015,water,0.4304
107.855,107.905,0.05,vocal,0.5604
107.975,108.01,0.035,other,0.6723
108.18,108.195,0.015,water,0.4596
108.355,108.38,0.025,vocal,0.5085
108.65,108.655,0.005,vocal,0.605
108.715,108.895,0.18,vocal,0.6619
108.97,108.975,0.005,vocal,0.5507
109.15,109.155,0.005,vocal,0.4761
109.22,109.225,0.005,silence,0.4063
109.35,109.665,0.315,silence,0.3666
109.73,109.815,0.085,other,0.507
109.95,109.955,0.005,click,0.3315
110.03,110.075,0.045,vocal,0.3712
110.16,110.425,0.265,other,0.3747
110.49,110.675,0.185,other,0.4449
110.72,110.835,0.115,silence,0.4908
110.95,110.995,0.045,silence,0.3497
111.17,111.175,0.005,silence,0.3838
111.27,111.305,0.035,vocal,0.6355
111.37,111.415,0.045,vocal,0.4245
111.47,111.695,0.225,vocal,0.452
111.74,111.745,0.005,silence,0.4875
111.79,111.875,0.085,vocal,0.356
111.93,111.935,0.005,vocal,0.6596
112.03,112.155,0.125,click,0.5027
112.21,112.255,0.045,vocal,0.6034
112.31,112.335,0.025,vocal,0.7434
112.635,112.675,0.04,other,0.5324
112.75,112.78,0.03,other,0.5846
112.825,112.83,0.005,silence,0.5292
112.95,112.97,0.02,other,0.6036
113.015,113.27,0.255,vocal,0.732
113.335,113.51,0.175,silence,0.4184
113.555,113.8,0.245,other,0.4631
113.865,114.05,0.185,vocal,0.4462
114.105,114.35,0.245,other,0.4134
114.395,114.41,0.015,vocal,0.4618
114.465,114.47,0.005,silence,0.4373
114.525,114.54,0.015,silence,0.4615
114.605,114.79,0.185,other,0.4467
114.845,115.05,0.205,silence,0.3527
115.165,115.17,0.005,other,0.5077
115.365,115.43,0.065,vocal,0.3329
115.565,115.59,0.025,vocal,0.5526
115.905,116.255,0.35,silence,0.5845
116.34,116.345,0.005,vocal,0.3883
116.405,116.435,0.03,vocal,0.8127
116.565,116.575,0.01,vocal,0.8457
116.63,116.635,0.005,vocal,0.4502
116.68,116.685,0.005,silence,0.38
116.775,116.965,0.19,other,0.7528
117.02,117.055,0.035,vocal,0.55
117.11,117.155,0.045,silence,0.4585
117.22,117.335,0.115,other,0.7274
117.39,117.425,0.035,vocal,0.7063
117.48,117.675,0.195,silence,0.5443
117.72,117.825,0.105,vocal,0.4679
117.885,118.065,0.18,vocal,0.7593
118.13,118.285,0.155,vocal,0.5288
118.34,118.805,0.465,click,0.5002
118.88,118.885,0.005,silence,0.3777
118.98,119.07,0.09,vocal,0.8267
119.12,119.145,0.025,vocal,0.7388
119.2,119.205,0.005,vocal,0.3907
119.35,119.385,0.035,vocal,0.7051
119.51,119.685,0.175,vocal,0.9716
119.94,119.945,0.005,vocal,0.5105
120.255,120.26,0.005,vocal,0.4459
120.305,120.31,0.005,silence,0.4217
120.38,120.43,0.05,vocal,0.7381
120.505,120.51,0.005,silence,0.3323
120.555,120.56,0.005,silence,0.4865
120.655,120.72,0.065,other,0.3601
120.775,120.78,0.005,silence,0.5252
120.835,120.86,0.025,vocal,0.6259
121.015,121.1,0.085,vocal,0.3934
121.145,121.18,0.035,vocal,0.5389
121.225,121.26,0.035,vocal,0.6719
121.315,121.42,0.105,silence,0.4989
121.475,121.52,0.045,silence,0.4536
121.575,121.6,0.025,vocal,0.3161
121.715,121.74,0.025,vocal,0.3847
121.875,121.88,0.005,silence,0.4618
121.925,122.18,0.255,vocal,0.493
122.235,122.28,0.045,vocal,0.4711
122.335,122.53,0.195,vocal,0.4382
122.575,122.63,0.055,other,0.8546
122.695,122.71,0.015,vocal,0.7954
122.755,122.76,0.005,vocal,0.4688
122.835,122.85,0.015,vocal,0.6681
123.1,123.22,0.12,vocal,0.697
123.465,123.475,0.01,other,0.5806
123.565,123.57,0.005,silence,0.3938
123.67,123.68,0.01,other,0.8944
123.79,123.795,0.005,vocal,0.5956
123.86,123.9,0.04,vocal,0.448
124.05,124.065,0.015,other,0.508
124.11,124.115,0.005,other,0.4756
124.29,124.375,0.085,other,0.7368
124.47,124.505,0.035,other,0.3691
124.59,125.09,0.5,other,0.841
125.09,125.265,0.175,vocal,0.5299
125.31,125.495,0.185,vocal,0.4988
125.55,125.595,0.045,other,0.4693
125.67,125.675,0.005,silence,0.4088
125.75,125.815,0.065,vocal,0.3916
125.87,126.035,0.165,other,0.4042
126.09,126.335,0.245,vocal,0.4083
126.41,126.415,0.005,vocal,0.5533
126.47,126.475,0.005,vocal,0.4613
126.54,126.66,0.12,vocal,0.8666
126.73,126.735,0.005,vocal,0.5271
126.79,126.795,0.005,vocal,0.4065
126.84,126.895,0.055,vocal,0.7954
127.05,127.055,0.005,vocal,0.763
127.11,127.115,0.005,vocal,0.7351
127.305,127.31,0.005,other,0.3937
127.36,127.405,0.045,vocal,0.5197
127.86,127.895,0.035,vocal,0.8084
128.155,128.16,0.005,silence,0.3783
128.24,128.27,0.03,vocal,0.6537
128.37,128.44,0.07,vocal,0.722
128.495,128.51,0.015,other,0.4998
128.625,128.75,0.125,silence,0.4706
128.805,128.93,0.125,vocal,0.7493
129.045,129.15,0.105,vocal,0.6507
129.225,129.23,0.005,silence,0.5599
129.285,129.29,0.005,silence,0.3928
129.365,129.37,0.005,vocal,0.3689
129.525,129.53,0.005,silence,0.3126
129.585,129.59,0.005,silence,0.4221
129.665,129.67,0.005,silence,0.4268
129.745,130.245,0.5,other,0.6304
130.245,130.4,0.155,vocal,0.7003
130.485,130.49,0.005,vocal,0.4866
130.605,130.61,0.005,other,0.6815
130.665,130.71,0.045,vocal,0.4562
131.045,131.05,0.005,silence,0.36
131.145,131.17,0.025,vocal,0.6357
131.285,131.41,0.125,click,0.6856
131.495,131.52,0.025,other,0.7087
131.565,131.575,0.01,vocal,0.5124
132.02,132.04,0.02,vocal,0.4861
132.49,132.495,0.005,vocal,0.567
132.725,132.73,0.005,silence,0.548
132.86,132.865,0.005,silence,0.4112
132.94,132.985,0.045,silence,0.3702
133.095,133.155,0.06,other,0.5256
133.205,133.265,0.06,other,0.6623
133.31,133.325,0.015,click,0.3817
133.37,133.45,0.08,other,0.7226
133.58,133.585,0.005,silence,0.5196
133.76,133.835,0.075,vocal,0.4326
133.88,133.885,0.005,silence,0.3539
133.96,134.205,0.245,other,0.5293
134.25,134.335,0.085,other,0.9663
134.39,134.405,0.015,other,0.4755
134.46,134.665,0.205,other,0.7093
134.71,134.755,0.045,silence,0.4042
134.82,134.825,0.005,vocal,0.5587
134.88,134.885,0.005,silence,0.6822
134.94,134.945,0.005,silence,0.5044
135.0,135.045,0.045,other,0.5975
135.12,135.265,0.145,other,0.8995
135.36,135.365,0.005,silence,0.3808
135.46,135.585,0.125,other,0.8191
135.64,135.645,0.005,silence,0.5019
135.7,135.725,0.025,other,0.3763
135.82,135.825,0.005,vocal,0.5477
135.9,135.905,0.005,silence,0.3154
136.0,136.105,0.105,other,0.4916
136.16,136.205,0.045,other,0.9167
136.26,136.385,0.125,click,0.3546
136.49,136.555,0.065,other,0.8998
136.6,136.665,0.065,vocal,0.4088
136.72,136.725,0.005,silence,0.4089
136.84,136.845,0.005,vocal,0.3913
136.9,136.905,0.005,vocal,0.4317
137.14,137.165,0.025,click,0.3329
137.22,137.245,0.025,other,0.383
137.34,137.345,0.005,vocal,0.5329
137.42,137.425,0.005,silence,0.3806
137.5,137.505,0.005,vocal,0.4404
137.56,137.565,0.005,vocal,0.4752
137.78,137.825,0.045,click,0.2937
138.01,138.015,0.005,other,0.3804
138.105,138.11,0.005,other,0.4585
138.16,138.165,0.005,silence,0.3501
138.21,138.215,0.005,other,0.3196
138.515,138.625,0.11,other,0.6042
138.76,138.765,0.005,vocal,0.5201
139.495,139.525,0.03,click,0.5666
139.875,139.88,0.005,silence,0.5032
140.105,140.12,0.015,click,0.3396
140.175,140.18,0.005,silence,0.3918
140.235,140.27,0.035,other,0.7746
140.315,140.32,0.005,vocal,0.499
140.655,140.66,0.005,silence,0.561
140.715,140.76,0.045,vocal,0.4512
140.815,140.94,0.125,water,0.3802
141.035,141.08,0.045,vocal,0.4131
141.235,141.24,0.005,silence,0.5111
141.295,141.36,0.065,other,0.5499
141.415,141.915,0.5,other,0.982
141.915,142.22,0.305,other,0.741
142.265,142.64,0.375,other,0.6791
142.695,143.06,0.365,silence,0.5548
143.105,143.22,0.115,other,0.6127
143.265,143.605,0.34,other,0.8224
