true,width_ms,pred,frac
vocal,2.5,click,1.0
vocal,5.0,click,1.0
vocal,10.0,click,1.0
vocal,25.0,click,0.5869565217391305
vocal,25.0,water,0.41304347826086957
vocal,50.0,water,0.9565217391304348
vocal,50.0,click,0.021739130434782608
vocal,50.0,vocal,0.021739130434782608
vocal,100.0,vocal,0.2826086956521739
vocal,100.0,other,0.6304347826086957
vocal,100.0,water,0.06521739130434782
vocal,100.0,click,0.021739130434782608
vocal,200.0,other,0.9782608695652174
vocal,200.0,click,0.021739130434782608
click,2.5,click,1.0
click,5.0,click,1.0
click,10.0,click,1.0
click,25.0,water,0.6666666666666666
click,25.0,click,0.3333333333333333
click,50.0,water,1.0
click,100.0,other,0.6666666666666666
click,100.0,water,0.3333333333333333
click,200.0,other,1.0
