full_duration_ms,sound_duration_ms,n_pulses,pulse_rate_hz,pulse_strength,rms,centroid_hz,bandwidth_hz,dominant_hz,flatness,class
612.81,612.81,135,400.0,0.492,6e-05,806.76,593.08,50.59,0.07,click
631.31,631.31,142,50.0,0.352,6e-05,760.61,593.62,50.69,0.07,click
621.75,621.75,141,50.0,0.452,6e-05,868.59,593.75,51.47,0.12,click
840.26,840.26,192,400.0,0.407,5e-05,917.69,534.6,51.17,0.12,other
810.41,810.41,186,50.0,0.398,5e-05,795.02,546.28,50.59,0.13,other
2354.15,1790.61,18,400.0,0.951,0.0001,905.2,552.14,50.26,0.06,other
960.6,960.6,206,400.0,0.468,5e-05,938.98,534.95,51.01,0.08,other
807.31,807.3,74,400.0,0.5,5e-05,723.27,554.99,50.79,0.13,other
789.11,789.11,171,400.0,0.476,5e-05,706.65,559.8,50.69,0.11,other
753.41,753.03,163,400.0,0.489,5e-05,877.38,601.87,50.46,0.12,other
820.95,820.95,188,400.0,0.473,5e-05,862.03,562.56,51.16,0.09,other
764.41,764.41,160,400.0,0.48,5e-05,965.3,582.56,51.02,0.23,other
3899.55,3898.55,225,400.0,0.484,5e-05,724.52,585.82,50.02,0.05,other
2829.1,2829.1,212,400.0,0.522,5e-05,729.45,589.95,50.19,0.08,other
1851.09,1851.06,269,400.0,0.531,5e-05,836.89,551.37,50.24,0.09,other
1061.89,1061.89,234,400.0,0.385,5e-05,819.34,578.89,50.85,0.16,other
3131.1,3063.01,36,400.0,0.954,0.0001,1011.37,509.81,50.28,0.04,other
1025.52,1025.11,3,400.0,0.32,6e-05,791.3,498.5,50.73,0.21,other
791.51,791.51,186,50.0,0.448,6e-05,880.16,601.13,50.54,0.08,other
1763.81,1763.25,352,400.0,0.643,7e-05,872.38,546.16,50.47,0.1,other
3378.59,3378.59,762,50.0,0.397,6e-05,900.62,546.22,50.02,0.07,other
3503.58,3503.58,825,25.0,0.433,6e-05,880.18,565.92,50.23,0.07,other
1203.73,1203.19,262,400.0,0.477,7e-05,929.0,548.46,50.7,0.08,other
1671.41,1669.09,28,400.0,0.716,7e-05,775.95,581.39,50.33,0.08,other
1323.75,1323.73,305,50.0,0.45,6e-05,790.92,582.09,50.61,0.07,other
1207.36,1207.36,275,50.0,0.454,6e-05,879.62,555.67,50.52,0.06,other
872.77,871.92,190,400.0,0.52,6e-05,886.67,550.39,50.46,0.06,other
2176.77,2176.77,413,400.0,0.58,6e-05,901.58,562.48,50.07,0.06,other
12319.61,3120.49,40,400.0,0.747,0.0002,593.3,425.56,564.98,0.04,other
831.86,831.86,195,25.0,0.469,5e-05,775.12,584.76,50.49,0.05,other
1198.06,1198.06,240,50.0,0.398,5e-05,782.38,546.49,50.08,0.07,other
678.71,678.32,35,400.0,0.85,8e-05,455.59,536.78,50.12,0.02,vocal
697.49,697.49,71,400.0,0.81,8e-05,466.55,542.31,50.18,0.02,vocal
739.33,738.56,71,400.0,0.91,9e-05,448.07,539.79,50.1,0.01,vocal
757.01,749.88,28,400.0,0.918,9e-05,390.44,506.15,50.68,0.01,vocal
744.99,744.99,96,400.0,0.801,7e-05,534.23,562.61,51.01,0.03,vocal
642.14,634.85,19,400.0,0.243,6e-05,737.46,466.75,50.41,0.11,vocal
730.05,730.05,147,400.0,0.566,6e-05,643.5,579.42,50.68,0.05,vocal
723.49,723.45,145,400.0,0.558,6e-05,584.02,559.64,51.14,0.04,vocal
693.62,693.26,154,400.0,0.487,6e-05,606.36,578.23,50.49,0.04,vocal
725.55,725.55,145,400.0,0.562,6e-05,565.73,555.83,51.0,0.04,vocal
746.96,746.96,163,400.0,0.51,6e-05,663.04,580.19,50.87,0.05,vocal
707.89,707.78,158,400.0,0.49,6e-05,629.93,578.65,50.86,0.05,vocal
693.92,693.92,151,400.0,0.396,6e-05,661.43,585.28,50.44,0.05,vocal
713.6,713.6,162,50.0,0.47,6e-05,692.49,587.68,50.45,0.05,vocal
729.93,729.93,167,50.0,0.439,6e-05,669.58,582.46,50.69,0.05,vocal
723.05,723.05,105,400.0,0.622,6e-05,574.69,569.19,51.17,0.04,vocal
661.11,660.95,122,400.0,0.667,6e-05,592.93,569.6,51.44,0.05,vocal
