full_duration_ms,sound_duration_ms,n_pulses,pulse_rate_hz,pulse_strength,rms,centroid_hz,bandwidth_hz,dominant_hz,flatness,class
671.59,671.59,153,50.0,0.351,6e-05,671.86,579.86,50.63,0.05,vocal
656.46,656.46,140,400.0,0.445,6e-05,682.87,593.33,50.27,0.05,vocal
703.22,702.8,157,400.0,0.391,6e-05,664.4,574.6,51.22,0.07,vocal
707.11,707.11,159,25.0,0.414,6e-05,705.83,581.27,50.91,0.06,vocal
716.43,716.06,162,400.0,0.405,5e-05,631.47,569.77,50.27,0.05,vocal
815.16,814.33,182,400.0,0.334,6e-05,638.65,576.53,50.35,0.04,vocal
698.78,672.25,4,400.0,0.517,9e-05,651.47,348.93,50.58,0.07,vocal
666.24,337.11,4,400.0,0.495,0.00011,715.49,566.07,50.43,0.06,vocal
696.03,693.01,47,400.0,0.834,7e-05,501.36,503.61,50.5,0.04,vocal
700.95,700.95,131,400.0,0.343,6e-05,816.58,556.3,51.36,0.18,vocal
739.31,738.74,126,400.0,0.818,6e-05,513.12,561.68,50.09,0.02,vocal
659.07,658.17,106,12.5,0.421,6e-05,671.29,517.68,50.14,0.08,vocal
658.16,657.76,119,16.7,0.373,6e-05,676.87,517.39,50.17,0.07,vocal
714.68,714.68,154,400.0,0.523,6e-05,610.99,569.84,50.37,0.04,vocal
650.22,650.22,42,400.0,0.428,6e-05,593.15,519.45,50.75,0.09,vocal
654.76,654.76,133,400.0,0.337,5e-05,647.42,538.66,50.4,0.09,vocal
664.52,661.89,126,400.0,0.613,5e-05,645.01,591.47,51.37,0.07,vocal
778.77,778.77,155,400.0,0.73,6e-05,568.75,575.21,50.08,0.03,vocal
776.38,775.65,147,400.0,0.739,5e-05,581.21,584.85,50.28,0.03,vocal
791.9,791.9,87,400.0,0.884,7e-05,481.49,559.9,65.67,0.01,vocal
705.93,705.15,134,400.0,0.68,5e-05,665.47,602.13,51.05,0.05,vocal
764.21,764.21,157,400.0,0.602,5e-05,655.74,595.7,51.03,0.05,vocal
811.09,656.3,17,60.6,0.876,0.00019,354.33,464.5,120.37,0.01,vocal
760.31,754.68,26,69.0,0.738,9e-05,421.42,471.71,50.35,0.01,vocal
726.19,725.98,156,400.0,0.472,7e-05,667.07,560.53,50.97,0.05,vocal
842.19,842.19,190,400.0,0.353,6e-05,668.63,582.42,51.06,0.06,vocal
922.42,922.42,204,33.3,0.356,6e-05,701.06,576.34,50.95,0.06,vocal
911.72,911.72,210,400.0,0.315,6e-05,696.94,585.14,50.45,0.04,vocal
29601.77,29600.84,3529,400.0,0.432,5e-05,624.43,577.13,50.07,0.05,vocal
3269.4,3253.64,22,400.0,0.668,7e-05,1108.74,471.94,50.1,0.23,water
3729.5,3729.5,861,16.7,0.578,5e-05,821.87,590.97,50.14,0.05,silence
5024.46,5024.46,1175,16.7,0.501,5e-05,811.74,589.28,50.15,0.04,silence
6805.03,6804.9,1548,16.7,0.459,6e-05,816.04,594.22,50.11,0.04,silence
3513.67,3513.67,812,16.7,0.479,6e-05,802.23,594.18,50.09,0.03,silence
7614.39,7614.39,1056,50.0,0.485,4e-05,838.71,585.41,50.04,0.07,silence
