start_s,end_s,duration_s,class,confidence
0.31,0.315,0.005,click,0.9239
0.41,0.415,0.005,click,0.8885
0.79,0.795,0.005,click,0.8824
1.15,1.155,0.005,click,0.8507
1.25,1.255,0.005,click,0.8928
1.31,1.315,0.005,click,0.9138
1.49,1.495,0.005,click,0.7947
1.605,1.61,0.005,click,0.8548
1.75,1.815,0.065,vocal,0.7023
2.09,2.175,0.085,vocal,0.7345
2.29,2.295,0.005,click,0.8845
2.37,2.375,0.005,click,0.8807
2.51,2.515,0.005,click,0.8782
2.59,2.595,0.005,click,0.8702
2.85,2.875,0.025,water,0.6994
2.93,3.14,0.21,other,0.5563
3.27,3.355,0.085,vocal,0.8151
3.41,3.415,0.005,click,0.8634
3.47,3.595,0.125,vocal,0.6433
3.65,3.935,0.285,silence,0.4731
3.99,4.255,0.265,silence,0.6012
4.35,4.615,0.265,silence,0.4858
4.67,4.955,0.285,other,0.481
5.11,5.115,0.005,click,0.8919
5.21,5.335,0.125,other,0.4161
5.39,5.395,0.005,click,0.9116
5.55,5.695,0.145,vocal,0.4263
5.79,5.795,0.005,click,0.9161
5.97,5.975,0.005,click,0.911
6.31,6.315,0.005,click,0.8621
6.47,6.515,0.045,water,0.5204
6.75,6.755,0.005,click,0.9186
6.99,6.995,0.005,click,0.9055
7.27,7.355,0.085,vocal,0.6078
8.125,8.13,0.005,click,0.8818
8.265,8.275,0.01,water,0.4415
8.725,8.77,0.045,water,0.4383
8.825,8.93,0.105,vocal,0.5817
9.185,9.31,0.125,other,0.3523
9.405,9.41,0.005,click,0.8978
9.465,9.69,0.225,other,0.4739
9.745,9.79,0.045,water,0.7223
9.865,9.91,0.045,vocal,0.6099
9.965,10.19,0.225,other,0.4733
10.285,10.55,0.265,silence,0.6724
10.685,10.69,0.005,click,0.8879
10.765,10.93,0.165,other,0.4902
11.025,11.07,0.045,vocal,0.4359
11.205,11.21,0.005,click,0.8955
11.265,11.29,0.025,water,0.7694
11.38,11.45,0.07,vocal,0.4637
11.565,11.67,0.105,vocal,0.5421
11.745,11.75,0.005,click,0.8764
11.845,11.85,0.005,click,0.8676
11.925,12.11,0.185,silence,0.562
12.325,12.33,0.005,click,0.8611
12.385,12.39,0.005,click,0.8652
12.445,12.45,0.005,click,0.8844
12.785,12.83,0.045,vocal,0.4645
12.885,12.89,0.005,click,0.9169
13.245,13.25,0.005,click,0.9178
13.365,13.37,0.005,click,0.8991
13.545,13.55,0.005,click,0.8752
13.645,13.65,0.005,click,0.9261
13.785,13.79,0.005,click,0.8934
13.965,14.09,0.125,other,0.3539
14.145,14.17,0.025,water,0.7727
14.245,14.41,0.165,silence,0.3903
14.465,14.55,0.085,vocal,0.699
14.625,14.63,0.005,click,0.8914
14.785,14.83,0.045,water,0.5592
14.885,14.95,0.065,vocal,0.8242
15.025,15.03,0.005,click,0.8957
15.145,15.15,0.005,click,0.8897
15.245,15.35,0.105,vocal,0.5616
15.585,15.59,0.005,click,0.8784
15.645,15.67,0.025,water,0.7176
15.96,15.965,0.005,click,0.8876
16.02,16.09,0.07,vocal,0.901
16.14,16.15,0.01,click,0.4392
16.48,16.485,0.005,click,0.899
16.72,16.925,0.205,other,0.6051
17.08,17.125,0.045,vocal,0.4864
17.18,17.385,0.205,silence,0.4644
17.48,17.485,0.005,click,0.8807
17.54,17.585,0.045,water,0.4769
17.96,17.965,0.005,click,0.8913
18.06,18.065,0.005,click,0.9165
18.3,18.365,0.065,vocal,0.7465
18.44,18.485,0.045,vocal,0.7622
18.56,18.565,0.005,click,0.8735
18.78,18.845,0.065,vocal,0.8253
18.98,18.985,0.005,click,0.8664
19.06,19.065,0.005,click,0.8721
19.18,19.245,0.065,vocal,0.8317
19.32,19.405,0.085,vocal,0.7569
19.48,19.685,0.205,other,0.4065
19.765,19.785,0.02,click,0.2593
19.84,19.865,0.025,water,0.8049
19.96,20.125,0.165,silence,0.3386
20.34,20.585,0.245,other,0.5412
20.66,20.685,0.025,water,0.6372
20.74,21.005,0.265,silence,0.5982
21.1,21.105,0.005,click,0.8928
21.16,21.505,0.345,silence,0.7304
21.56,21.945,0.385,other,0.6175
22.12,22.365,0.245,silence,0.6252
22.52,22.885,0.365,silence,0.6632
23.06,23.245,0.185,silence,0.4535
23.3,23.365,0.065,vocal,0.8828
23.42,23.92,0.5,silence,0.7616
23.92,24.085,0.165,silence,0.3404
24.16,24.165,0.005,click,0.9182
24.28,24.305,0.025,water,0.6329
24.36,24.505,0.145,vocal,0.3846
24.58,24.585,0.005,click,0.8573
24.66,24.665,0.005,click,0.8979
24.76,24.905,0.145,vocal,0.386
25.18,25.305,0.125,vocal,0.4379
25.48,25.485,0.005,click,0.8524
25.615,25.62,0.005,click,0.9176
25.875,25.88,0.005,click,0.9066
26.335,26.54,0.205,other,0.424
26.695,26.74,0.045,water,0.4741
26.795,26.9,0.105,vocal,0.4899
26.995,27.02,0.025,water,0.8093
27.075,27.1,0.025,water,0.6413
27.175,27.2,0.025,water,0.6327
27.255,27.26,0.005,click,0.9069
27.595,27.66,0.065,vocal,0.8402
27.895,27.94,0.045,water,0.5045
27.995,28.12,0.125,vocal,0.4653
28.175,28.18,0.005,click,0.8983
28.335,28.58,0.245,silence,0.4839
28.715,28.74,0.025,water,0.5546
28.815,28.86,0.045,vocal,0.6219
28.915,28.92,0.005,click,0.8865
28.995,29.0,0.005,click,0.8932
29.215,29.4,0.185,other,0.4674
29.555,29.82,0.265,silence,0.5758
29.895,30.2,0.305,other,0.4677
30.415,30.72,0.305,silence,0.5083
30.795,30.8,0.005,click,0.8866
30.915,31.14,0.225,other,0.5365
31.215,31.22,0.005,click,0.884
31.415,31.46,0.045,vocal,0.5516
31.595,31.6,0.005,click,0.8734
31.835,31.84,0.005,click,0.8948
31.895,31.9,0.005,click,0.8939
32.115,32.12,0.005,click,0.8671
32.195,32.36,0.165,other,0.3299
32.65,32.7,0.05,water,0.4646
32.99,32.995,0.005,click,0.8611
33.05,33.055,0.005,click,0.8984
33.15,33.195,0.045,water,0.6159
33.25,33.255,0.005,click,0.8353
33.31,33.475,0.165,other,0.3583
33.53,33.535,0.005,click,0.9113
33.71,33.995,0.285,other,0.5451
34.07,34.355,0.285,silence,0.7419
34.49,34.615,0.125,vocal,0.574
34.69,34.695,0.005,click,0.8639
34.81,34.815,0.005,click,0.8886
34.93,34.935,0.005,click,0.897
34.99,35.075,0.085,vocal,0.7475
35.13,35.135,0.005,click,0.8955
35.35,35.435,0.085,vocal,0.8173
35.49,35.495,0.005,click,0.904
35.71,35.715,0.005,click,0.8662
35.79,35.835,0.045,water,0.5016
36.01,36.015,0.005,click,0.923
36.11,36.195,0.085,vocal,0.8196
36.41,36.595,0.185,vocal,0.4998
36.69,36.775,0.085,vocal,0.7647
36.89,37.055,0.165,other,0.3996
37.17,37.175,0.005,click,0.8827
37.25,37.555,0.305,silence,0.7694
37.67,37.675,0.005,click,0.9081
37.77,37.835,0.065,vocal,0.8208
38.045,38.13,0.085,vocal,0.6405
38.265,38.27,0.005,click,0.8918
38.485,38.49,0.005,click,0.931
38.665,38.67,0.005,click,0.874
38.925,38.97,0.045,water,0.6285
39.105,39.13,0.025,water,0.662
39.245,39.25,0.005,click,0.9043
39.345,39.39,0.045,water,0.4645
39.445,39.49,0.045,water,0.3972
39.565,39.57,0.005,click,0.8875
39.725,39.73,0.005,click,0.858
39.805,39.91,0.105,vocal,0.6097
39.985,39.99,0.005,click,0.8463
40.125,40.39,0.265,silence,0.4849
40.465,40.51,0.045,water,0.6546
40.565,40.83,0.265,silence,0.6615
40.885,40.91,0.025,water,0.7807
40.965,41.13,0.165,other,0.5733
41.225,41.47,0.245,other,0.5951
41.525,41.83,0.305,silence,0.4764
41.885,42.03,0.145,other,0.4115
42.085,42.13,0.045,vocal,0.45
42.385,42.39,0.005,click,0.814
42.445,42.65,0.205,silence,0.4979
42.865,42.91,0.045,vocal,0.4202
43.005,43.07,0.065,vocal,0.8626
43.145,43.19,0.045,vocal,0.593
43.465,43.49,0.025,water,0.6888
43.585,43.625,0.04,water,0.4624
43.76,43.785,0.025,water,0.7313
43.94,44.045,0.105,vocal,0.696
44.1,44.125,0.025,water,0.6715
44.18,44.225,0.045,water,0.6206
44.38,44.385,0.005,click,0.8846
44.44,44.445,0.005,click,0.8037
44.56,44.565,0.005,click,0.9052
44.62,44.705,0.085,vocal,0.6552
44.8,44.885,0.085,vocal,0.7194
44.96,45.105,0.145,other,0.4844
45.18,45.185,0.005,click,0.9003
45.36,45.585,0.225,other,0.472
45.66,45.825,0.165,other,0.526
45.88,45.945,0.065,vocal,0.9146
46.0,46.025,0.025,water,0.7201
46.08,46.085,0.005,click,0.8884
46.26,46.365,0.105,vocal,0.4951
46.48,46.485,0.005,click,0.8778
46.54,46.545,0.005,click,0.9156
46.64,46.685,0.045,water,0.4742
46.74,46.745,0.005,click,0.8547
46.8,46.805,0.005,click,0.8635
46.98,47.025,0.045,vocal,0.4776
47.08,47.085,0.005,click,0.8508
47.28,47.305,0.025,water,0.7044
47.46,47.505,0.045,water,0.4222
47.58,47.605,0.025,water,0.7395
47.72,47.725,0.005,click,0.899
47.82,47.945,0.125,other,0.4788
48.02,48.045,0.025,water,0.6512
48.16,48.345,0.185,other,0.4524
48.54,48.545,0.005,click,0.9061
48.6,48.725,0.125,vocal,0.4141
49.1,49.105,0.005,click,0.8969
49.335,49.34,0.005,click,0.8762
49.435,49.44,0.005,click,0.9139
49.735,49.865,0.13,other,0.6482
50.095,50.28,0.185,silence,0.5007
50.355,50.4,0.045,water,0.5268
50.455,50.46,0.005,click,0.8668
50.515,50.64,0.125,other,0.4935
50.835,51.06,0.225,other,0.4691
51.115,51.12,0.005,click,0.8861
51.275,51.48,0.205,other,0.5811
51.675,51.68,0.005,click,0.8735
51.755,51.8,0.045,water,0.4952
51.875,51.88,0.005,click,0.8545
52.155,52.32,0.165,other,0.4075
52.615,52.62,0.005,click,0.8745
52.675,52.72,0.045,water,0.4782
52.975,53.0,0.025,water,0.6554
53.075,53.1,0.025,water,0.6836
