start_s,end_s,duration_s,class,confidence
1848.345,1848.43,0.085,water,0.5875
1848.465,1848.47,0.005,click,0.8585
1848.545,1848.55,0.005,click,0.7597
1848.56,1848.895,0.335,other,0.7467
1848.905,1848.91,0.005,click,0.8101
1849.0,1849.035,0.035,water,0.9975
1849.08,1849.115,0.035,water,0.9748
1849.22,1849.235,0.015,water,0.8908
1849.27,1849.305,0.035,water,0.9915
1849.62,1849.655,0.035,water,0.9821
1849.665,1849.67,0.005,click,0.8765
1852.285,1852.29,0.005,click,0.6426
1929.01,1929.015,0.005,click,0.7555
2044.655,2044.665,0.01,water,0.9622
2058.855,2058.86,0.005,click,0.7612
2079.345,2079.35,0.005,click,0.8208
2098.575,2098.58,0.005,click,0.8382
2157.905,2157.91,0.005,click,0.8515
2295.82,2295.83,0.01,water,0.9089
2296.005,2296.01,0.005,click,0.8137
2383.355,2383.36,0.005,click,0.5326
2434.745,2434.75,0.005,click,0.7611
2442.075,2442.08,0.005,click,0.707
2457.04,2457.05,0.01,water,0.7255
2494.995,2495.0,0.005,click,0.7138
2532.385,2532.39,0.005,click,0.6248
2533.37,2533.375,0.005,click,0.8242
2542.89,2542.895,0.005,click,0.5748
