rank,start_s,end_s,duration_s,similarity
731,1150.995,1151.0,0.005,0.8906
732,976.7,976.705,0.005,0.8906
733,670.35,670.355,0.005,0.8906
734,198.215,198.22,0.005,0.8906
735,625.275,625.28,0.005,0.8906
736,913.69,913.725,0.035,0.8905
737,351.475,351.48,0.005,0.8905
738,636.285,636.35,0.065,0.8904
739,647.83,647.835,0.005,0.8904
740,490.555,490.56,0.005,0.8903
741,904.92,904.925,0.005,0.8903
742,111.74,111.745,0.005,0.8903
743,163.815,163.825,0.01,0.8902
744,485.86,485.865,0.005,0.8902
745,919.145,919.15,0.005,0.8902
746,107.395,107.46,0.065,0.8902
747,1049.75,1049.755,0.005,0.8902
748,1087.405,1087.41,0.005,0.8901
749,140.315,140.32,0.005,0.8901
750,927.505,927.52,0.015,0.8901
751,116.34,116.345,0.005,0.8901
752,559.355,559.405,0.05,0.8901
753,677.69,677.695,0.005,0.89
754,1044.705,1044.71,0.005,0.89
755,632.29,632.295,0.005,0.89
756,83.83,83.835,0.005,0.89
757,567.995,568.0,0.005,0.89
758,659.115,659.12,0.005,0.89
759,503.545,503.55,0.005,0.89
760,647.68,647.685,0.005,0.89
761,158.595,158.68,0.085,0.8899
762,65.39,65.395,0.005,0.8899
763,213.235,213.24,0.005,0.8899
764,880.715,880.72,0.005,0.8898
765,982.09,982.095,0.005,0.8898
766,511.66,511.665,0.005,0.8898
767,636.015,636.05,0.035,0.8897
768,115.365,115.43,0.065,0.8897
769,88.325,88.39,0.065,0.8897
770,838.495,838.5,0.005,0.8897
771,589.58,589.635,0.055,0.8897
772,729.825,729.83,0.005,0.8896
773,572.36,572.365,0.005,0.8896
774,157.535,157.54,0.005,0.8896
775,26.73,26.735,0.005,0.8896
776,1135.51,1135.515,0.005,0.8896
777,501.605,501.61,0.005,0.8895
778,696.95,696.955,0.005,0.8895
779,140.655,140.66,0.005,0.8895
780,909.855,909.86,0.005,0.8895
781,562.69,562.695,0.005,0.8895
782,543.05,543.135,0.085,0.8895
783,197.575,197.58,0.005,0.8895
784,534.025,534.03,0.005,0.8895
785,925.25,925.255,0.005,0.8894
786,981.18,981.185,0.005,0.8894
787,104.045,104.05,0.005,0.8893
788,572.81,572.815,0.005,0.8893
789,99.92,99.925,0.005,0.8893
790,963.865,963.895,0.03,0.8892
791,332.83,332.85,0.02,0.8892
792,590.585,590.59,0.005,0.8892
793,584.195,584.2,0.005,0.8892
794,227.3,227.305,0.005,0.8892
795,242.33,242.385,0.055,0.8892
796,597.065,597.07,0.005,0.8892
797,226.94,226.945,0.005,0.8892
798,32.505,32.51,0.005,0.8891
799,534.225,534.23,0.005,0.889
800,864.915,864.92,0.005,0.889
801,156.835,156.885,0.05,0.889
802,108.65,108.655,0.005,0.889
803,926.235,926.24,0.005,0.889
804,785.935,785.94,0.005,0.889
805,713.12,713.205,0.085,0.889
806,810.6,810.605,0.005,0.889
807,45.775,45.78,0.005,0.889
808,170.285,170.29,0.005,0.889
809,356.645,356.65,0.005,0.889
810,502.015,502.02,0.005,0.8889
811,1046.015,1046.02,0.005,0.8889
812,538.24,538.245,0.005,0.8889
813,559.025,559.03,0.005,0.8889
814,495.13,495.135,0.005,0.8889
815,875.615,875.625,0.01,0.8887
816,206.395,206.4,0.005,0.8887
817,900.225,900.23,0.005,0.8886
818,1199.475,1199.48,0.005,0.8885
819,914.95,914.955,0.005,0.8885
820,898.725,898.73,0.005,0.8885
821,954.97,954.995,0.025,0.8884
822,536.94,536.945,0.005,0.8884
823,929.135,929.14,0.005,0.8883
824,531.55,531.565,0.015,0.8883
825,910.215,910.22,0.005,0.8883
826,648.62,648.625,0.005,0.8883
827,887.7,887.705,0.005,0.8883
828,3.455,3.46,0.005,0.8883
829,925.2,925.205,0.005,0.8883
830,550.39,550.41,0.02,0.8882
831,56.095,56.12,0.025,0.8881
832,100.22,100.225,0.005,0.8881
833,120.655,120.72,0.065,0.8881
834,646.48,646.485,0.005,0.888
835,650.935,650.94,0.005,0.888
836,919.445,919.45,0.005,0.888
837,1186.46,1186.465,0.005,0.8879
838,840.375,840.38,0.005,0.8879
839,654.075,654.16,0.085,0.8879
840,237.765,237.78,0.015,0.8878
841,271.885,271.89,0.005,0.8878
842,559.585,559.65,0.065,0.8878
843,1062.625,1062.63,0.005,0.8878
844,176.38,176.465,0.085,0.8878
845,664.235,664.26,0.025,0.8878
846,134.88,134.885,0.005,0.8878
847,207.875,207.88,0.005,0.8877
848,697.55,697.555,0.005,0.8877
849,432.175,432.21,0.035,0.8877
850,208.895,208.9,0.005,0.8876
851,134.82,134.825,0.005,0.8876
852,662.19,662.195,0.005,0.8876
853,244.205,244.22,0.015,0.8876
854,164.98,164.985,0.005,0.8876
855,885.98,885.985,0.005,0.8875
856,31.765,31.77,0.005,0.8875
857,559.305,559.31,0.005,0.8874
858,199.815,199.82,0.005,0.8874
859,805.765,805.77,0.005,0.8874
860,653.875,653.88,0.005,0.8873
861,694.035,694.04,0.005,0.8873
862,38.86,38.865,0.005,0.8873
863,792.665,792.67,0.005,0.8873
864,119.94,119.945,0.005,0.8873
865,657.15,657.155,0.005,0.8872
866,785.445,785.45,0.005,0.8872
867,658.945,658.95,0.005,0.8872
868,51.215,51.3,0.085,0.8872
869,1181.705,1181.715,0.01,0.8872
870,512.26,512.265,0.005,0.8872
871,452.2,452.205,0.005,0.8872
872,620.82,620.825,0.005,0.887
873,962.925,962.93,0.005,0.887
874,931.91,931.915,0.005,0.887
875,509.95,509.955,0.005,0.887
876,502.185,502.19,0.005,0.887
877,595.38,595.385,0.005,0.8869
878,82.42,82.425,0.005,0.8869
879,413.43,413.435,0.005,0.8869
880,26.65,26.655,0.005,0.8869
881,792.925,792.93,0.005,0.8868
882,920.805,920.81,0.005,0.8868
883,698.21,698.215,0.005,0.8867
884,108.97,108.975,0.005,0.8867
885,496.09,496.095,0.005,0.8867
886,1042.76,1042.765,0.005,0.8867
887,509.07,509.105,0.035,0.8867
888,175.74,175.745,0.005,0.8867
889,663.325,663.34,0.015,0.8867
890,763.95,763.955,0.005,0.8867
891,500.785,500.79,0.005,0.8867
892,978.465,978.475,0.01,0.8867
893,873.755,873.76,0.005,0.8867
894,576.575,576.58,0.005,0.8867
895,680.905,680.93,0.025,0.8867
896,246.225,246.25,0.025,0.8866
897,594.69,594.745,0.055,0.8866
898,177.955,177.96,0.005,0.8866
899,86.23,86.25,0.02,0.8866
900,652.015,652.04,0.025,0.8866
901,2.045,2.05,0.005,0.8866
902,212.235,212.24,0.005,0.8866
903,690.295,690.3,0.005,0.8866
904,586.235,586.24,0.005,0.8866
905,643.415,643.42,0.005,0.8865
906,684.71,684.715,0.005,0.8865
907,20.505,20.51,0.005,0.8865
908,682.845,682.85,0.005,0.8865
909,678.21,678.215,0.005,0.8865
910,794.66,794.665,0.005,0.8865
911,664.775,664.78,0.005,0.8864
912,636.445,636.5,0.055,0.8864
913,95.66,95.665,0.005,0.8864
914,100.6,100.605,0.005,0.8864
915,919.005,919.01,0.005,0.8864
916,955.17,955.175,0.005,0.8864
917,726.47,726.475,0.005,0.8863
918,923.06,923.065,0.005,0.8863
919,195.395,195.4,0.005,0.8863
920,129.585,129.59,0.005,0.8863
921,680.765,680.77,0.005,0.8863
922,927.195,927.2,0.005,0.8863
923,120.305,120.31,0.005,0.8862
924,493.67,493.675,0.005,0.8862
925,973.475,973.48,0.005,0.8862
926,78.235,78.24,0.005,0.8862
927,250.855,250.905,0.05,0.8862
928,610.775,610.78,0.005,0.8861
929,1086.945,1086.95,0.005,0.8861
930,57.695,57.7,0.005,0.8861
931,696.03,696.035,0.005,0.886
932,88.885,88.94,0.055,0.886
933,581.22,581.225,0.005,0.8859
934,63.91,63.915,0.005,0.8859
935,515.075,515.08,0.005,0.8859
936,543.29,543.295,0.005,0.8858
937,1010.395,1010.4,0.005,0.8858
938,693.895,693.9,0.005,0.8858
939,677.17,677.175,0.005,0.8858
940,1145.7,1145.705,0.005,0.8857
941,55.735,55.74,0.005,0.8857
942,504.945,504.97,0.025,0.8857
943,47.745,47.76,0.015,0.8857
944,698.97,698.975,0.005,0.8857
945,511.34,511.425,0.085,0.8856
946,123.79,123.795,0.005,0.8856
947,579.17,579.175,0.005,0.8855
948,64.03,64.035,0.005,0.8855
949,913.05,913.055,0.005,0.8855
950,95.74,95.745,0.005,0.8855
951,546.5,546.55,0.05,0.8855
952,181.19,181.195,0.005,0.8855
953,257.365,257.37,0.005,0.8855
954,615.07,615.075,0.005,0.8854
955,888.965,888.97,0.005,0.8854
956,910.975,910.98,0.005,0.8854
957,708.91,708.94,0.03,0.8854
958,984.24,984.245,0.005,0.8854
959,244.085,244.14,0.055,0.8854
960,699.89,699.895,0.005,0.8853
961,167.71,167.715,0.005,0.8853
962,159.195,159.2,0.005,0.8853
963,5.775,5.78,0.005,0.8853
964,50.335,50.36,0.025,0.8853
965,558.525,558.53,0.005,0.8852
966,629.89,629.895,0.005,0.8852
967,942.11,942.115,0.005,0.8852
968,178.875,178.88,0.005,0.8852
969,670.96,670.965,0.005,0.8852
970,919.785,919.79,0.005,0.8852
971,87.145,87.15,0.005,0.8852
972,649.18,649.185,0.005,0.8852
973,705.165,705.17,0.005,0.8851
974,1200.89,1200.895,0.005,0.8851
975,625.975,625.98,0.005,0.8851
976,565.78,565.785,0.005,0.8851
977,918.465,918.47,0.005,0.885
978,76.905,76.91,0.005,0.885
979,920.725,920.73,0.005,0.885
980,31.135,31.14,0.005,0.885
981,5.275,5.285,0.01,0.885
982,685.96,685.965,0.005,0.8849
983,180.22,180.225,0.005,0.8849
984,623.895,623.9,0.005,0.8849
985,469.335,469.34,0.005,0.8849
986,76.805,76.81,0.005,0.8849
987,32.965,33.05,0.085,0.8848
988,22.155,22.16,0.005,0.8848
989,883.13,883.135,0.005,0.8848
990,35.65,35.655,0.005,0.8848
991,685.04,685.045,0.005,0.8848
992,685.5,685.555,0.055,0.8848
993,105.535,105.62,0.085,0.8848
994,144.575,144.58,0.005,0.8848
995,692.895,692.9,0.005,0.8848
996,592.305,592.31,0.005,0.8848
997,650.3,650.305,0.005,0.8847
998,93.445,93.45,0.005,0.8847
999,973.555,973.56,0.005,0.8847
1000,891.575,891.58,0.005,0.8847
1001,65.05,65.055,0.005,0.8847
1002,729.565,729.57,0.005,0.8847
1003,1203.165,1203.17,0.005,0.8847
1004,63.0,63.005,0.005,0.8846
1005,699.25,699.255,0.005,0.8846
1006,104.265,104.27,0.005,0.8846
1007,166.65,166.655,0.005,0.8845
1008,724.33,724.335,0.005,0.8845
1009,526.53,526.535,0.005,0.8845
1010,624.555,624.56,0.005,0.8844
1011,211.295,211.3,0.005,0.8844
1012,103.715,103.72,0.005,0.8844
1013,930.91,930.915,0.005,0.8844
1014,693.575,693.58,0.005,0.8844
1015,1047.88,1047.885,0.005,0.8844
1016,635.815,635.82,0.005,0.8844
1017,659.185,659.19,0.005,0.8843
1018,891.155,891.16,0.005,0.8843
1019,663.415,663.42,0.005,0.8843
1020,832.125,832.13,0.005,0.8843
1021,189.88,189.885,0.005,0.8843
1022,167.16,167.215,0.055,0.8843
1023,82.33,82.335,0.005,0.8843
1024,953.705,953.71,0.005,0.8843
1025,712.72,712.725,0.005,0.8842
1026,393.725,393.73,0.005,0.8842
1027,724.91,724.915,0.005,0.8842
1028,1148.51,1148.515,0.005,0.8842
1029,682.605,682.61,0.005,0.8842
1030,912.035,912.04,0.005,0.8842
1031,918.865,918.87,0.005,0.8842
1032,563.4,563.405,0.005,0.8841
1033,461.14,461.145,0.005,0.8841
1034,753.545,753.55,0.005,0.8841
1035,568.735,568.74,0.005,0.8841
1036,908.615,908.62,0.005,0.8841
1037,200.69,200.72,0.03,0.884
1038,236.155,236.16,0.005,0.884
1039,29.395,29.4,0.005,0.884
1040,196.765,196.77,0.005,0.884
1041,1053.775,1053.78,0.005,0.884
1042,84.25,84.275,0.025,0.884
1043,678.11,678.115,0.005,0.884
1044,685.6,685.605,0.005,0.884
1045,618.345,618.35,0.005,0.884
1046,95.14,95.145,0.005,0.8839
1047,223.86,223.865,0.005,0.8839
1048,235.595,235.6,0.005,0.8839
1049,145.395,145.4,0.005,0.8839
1050,99.08,99.085,0.005,0.8839
1051,165.94,165.945,0.005,0.8838
1052,250.435,250.44,0.005,0.8838
1053,581.04,581.045,0.005,0.8838
1054,626.295,626.3,0.005,0.8838
1055,68.865,68.87,0.005,0.8838
1056,776.65,776.655,0.005,0.8838
1057,62.22,62.225,0.005,0.8837
1058,58.095,58.18,0.085,0.8837
1059,236.495,236.5,0.005,0.8837
1060,642.745,642.795,0.05,0.8837
1061,969.105,969.11,0.005,0.8837
1062,584.035,584.04,0.005,0.8836
1063,220.88,220.89,0.01,0.8836
1064,63.5,63.505,0.005,0.8836
1065,900.125,900.13,0.005,0.8836
1066,77.055,77.06,0.005,0.8836
1067,528.335,528.34,0.005,0.8835
1068,573.09,573.095,0.005,0.8835
1069,154.695,154.7,0.005,0.8835
1070,498.99,498.995,0.005,0.8835
1071,103.555,103.56,0.005,0.8835
1072,18.01,18.015,0.005,0.8834
1073,934.165,934.17,0.005,0.8834
1074,120.775,120.78,0.005,0.8834
1075,741.205,741.21,0.005,0.8834
1076,723.39,723.395,0.005,0.8833
1077,214.735,214.74,0.005,0.8833
1078,726.41,726.415,0.005,0.8833
1079,677.09,677.095,0.005,0.8833
1080,516.875,516.88,0.005,0.8832
1081,505.795,505.81,0.015,0.8832
1082,215.315,215.32,0.005,0.8832
1083,497.93,497.935,0.005,0.8831
1084,497.21,497.215,0.005,0.8831
1085,781.11,781.115,0.005,0.8831
1086,943.31,943.315,0.005,0.8831
1087,654.86,654.865,0.005,0.8831
1088,396.635,396.69,0.055,0.883
1089,740.37,740.375,0.005,0.883
1090,496.21,496.245,0.035,0.883
1091,698.91,698.915,0.005,0.883
1092,210.505,210.51,0.005,0.883
1093,29.455,29.46,0.005,0.8829
1094,24.68,24.685,0.005,0.8829
1095,550.925,550.93,0.005,0.8829
1096,105.345,105.4,0.055,0.8829
1097,663.195,663.21,0.015,0.8829
1098,177.855,177.87,0.015,0.8829
1099,48.475,48.48,0.005,0.8829
1100,164.73,164.735,0.005,0.8829
1101,909.335,909.34,0.005,0.8828
1102,551.775,551.78,0.005,0.8828
1103,284.515,284.52,0.005,0.8828
1104,246.81,246.815,0.005,0.8828
1105,925.0,925.005,0.005,0.8828
1106,568.395,568.4,0.005,0.8828
1107,496.81,496.815,0.005,0.8828
1108,581.7,581.705,0.005,0.8827
1109,558.625,558.64,0.015,0.8827
1110,1139.185,1139.19,0.005,0.8827
1111,244.735,244.74,0.005,0.8827
1112,696.65,696.675,0.025,0.8827
1113,290.54,290.545,0.005,0.8827
1114,913.17,913.175,0.005,0.8827
1115,475.16,475.165,0.005,0.8827
1116,1199.78,1199.785,0.005,0.8827
1117,509.64,509.645,0.005,0.8826
1118,102.19,102.275,0.085,0.8826
1119,100.78,100.785,0.005,0.8826
1120,201.305,201.31,0.005,0.8826
1121,127.11,127.115,0.005,0.8826
1122,982.87,982.875,0.005,0.8826
1123,96.16,96.165,0.005,0.8826
1124,548.4,548.415,0.015,0.8826
1125,962.615,962.62,0.005,0.8826
1126,776.77,776.775,0.005,0.8826
1127,714.55,714.555,0.005,0.8826
1128,559.535,559.54,0.005,0.8825
1129,681.665,681.75,0.085,0.8825
1130,92.945,92.95,0.005,0.8825
1131,229.5,229.505,0.005,0.8825
1132,703.785,703.79,0.005,0.8825
1133,211.445,211.45,0.005,0.8825
1134,649.96,649.965,0.005,0.8824
1135,497.83,497.835,0.005,0.8824
1136,44.25,44.255,0.005,0.8824
1137,119.2,119.205,0.005,0.8824
1138,228.92,228.925,0.005,0.8824
1139,144.815,144.83,0.015,0.8824
1140,254.99,254.995,0.005,0.8824
1141,645.71,645.715,0.005,0.8824
1142,1189.68,1189.685,0.005,0.8823
1143,919.225,919.23,0.005,0.8823
1144,353.235,353.24,0.005,0.8823
1145,121.015,121.1,0.085,0.8823
1146,1182.46,1182.465,0.005,0.8822
1147,839.595,839.6,0.005,0.8822
1148,79.96,79.965,0.005,0.8821
1149,413.185,413.19,0.005,0.8821
1150,417.71,417.715,0.005,0.8821
1151,215.585,215.59,0.005,0.8821
1152,651.025,651.03,0.005,0.8821
1153,494.68,494.685,0.005,0.8821
1154,489.91,489.93,0.02,0.8821
1155,588.93,588.935,0.005,0.8821
1156,248.12,248.175,0.055,0.8821
1157,105.475,105.48,0.005,0.882
1158,435.84,435.895,0.055,0.882
1159,76.96,76.97,0.01,0.882
1160,966.52,966.525,0.005,0.882
1161,61.46,61.465,0.005,0.882
1162,914.89,914.895,0.005,0.882
1163,922.91,922.915,0.005,0.882
1164,637.325,637.33,0.005,0.8819
1165,182.77,182.775,0.005,0.8819
1166,53.655,53.66,0.005,0.8819
1167,57.495,57.5,0.005,0.8819
1168,688.16,688.165,0.005,0.8819
1169,896.77,896.775,0.005,0.8819
1170,955.92,955.925,0.005,0.8819
1171,483.665,483.67,0.005,0.8819
1172,80.055,80.06,0.005,0.8819
1173,23.395,23.4,0.005,0.8819
1174,561.125,561.13,0.005,0.8819
1175,565.42,565.425,0.005,0.8818
1176,636.945,636.95,0.005,0.8818
1177,729.265,729.27,0.005,0.8818
1178,581.76,581.765,0.005,0.8818
1179,131.045,131.05,0.005,0.8818
1180,470.49,470.495,0.005,0.8818
1181,652.435,652.44,0.005,0.8818
1182,545.525,545.53,0.005,0.8818
1183,191.62,191.625,0.005,0.8818
1184,565.54,565.545,0.005,0.8818
1185,892.275,892.28,0.005,0.8817
1186,262.355,262.39,0.035,0.8817
1187,986.43,986.435,0.005,0.8817
1188,619.54,619.545,0.005,0.8817
1189,236.075,236.08,0.005,0.8817
1190,930.23,930.235,0.005,0.8817
1191,352.495,352.5,0.005,0.8817
1192,558.465,558.47,0.005,0.8817
1193,55.895,55.9,0.005,0.8817
1194,82.52,82.575,0.055,0.8817
1195,705.705,705.71,0.005,0.8817
1196,173.605,173.61,0.005,0.8816
1197,676.57,676.575,0.005,0.8816
1198,934.645,934.65,0.005,0.8816
1199,516.045,516.05,0.005,0.8816
1200,92.885,92.89,0.005,0.8816
1201,706.285,706.29,0.005,0.8816
1202,305.2,305.205,0.005,0.8816
1203,18.34,18.345,0.005,0.8815
1204,380.385,380.465,0.08,0.8815
1205,647.62,647.625,0.005,0.8815
1206,692.575,692.58,0.005,0.8815
1207,652.825,652.83,0.005,0.8815
1208,514.345,514.35,0.005,0.8815
1209,181.38,181.465,0.085,0.8815
1210,1068.94,1068.945,0.005,0.8815
1211,869.88,869.885,0.005,0.8815
1212,138.16,138.165,0.005,0.8815
1213,863.17,863.175,0.005,0.8815
1214,891.655,891.66,0.005,0.8815
1215,185.285,185.3,0.015,0.8814
1216,491.525,491.53,0.005,0.8814
1217,36.51,36.515,0.005,0.8814
1218,291.055,291.06,0.005,0.8814
1219,712.0,712.005,0.005,0.8814
1220,646.3,646.305,0.005,0.8813
1221,560.435,560.44,0.005,0.8813
1222,96.1,96.105,0.005,0.8813
1223,196.955,196.96,0.005,0.8813
1224,927.635,927.69,0.055,0.8813
1225,31.045,31.05,0.005,0.8813
1226,26.11,26.115,0.005,0.8813
1227,74.6,74.605,0.005,0.8813
1228,666.35,666.355,0.005,0.8813
1229,495.35,495.355,0.005,0.8812
1230,239.655,239.66,0.005,0.8812
1231,560.005,560.09,0.085,0.8812
1232,778.535,778.54,0.005,0.8811
1233,497.01,497.015,0.005,0.8811
1234,739.47,739.475,0.005,0.8811
1235,825.57,825.575,0.005,0.8811
1236,924.4,924.405,0.005,0.8811
1237,1080.85,1080.855,0.005,0.8811
1238,260.53,260.545,0.015,0.8811
1239,960.59,960.595,0.005,0.8811
1240,510.96,511.045,0.085,0.881
1241,576.725,576.73,0.005,0.881
1242,726.25,726.255,0.005,0.881
1243,125.67,125.675,0.005,0.881
1244,677.55,677.555,0.005,0.881
1245,135.36,135.365,0.005,0.8809
1246,44.655,44.66,0.005,0.8809
1247,173.205,173.215,0.01,0.8809
1248,904.54,904.545,0.005,0.8809
1249,1.47,1.55,0.08,0.8809
1250,841.51,841.515,0.005,0.8809
1251,871.955,871.96,0.005,0.8808
1252,453.82,453.825,0.005,0.8808
1253,118.88,118.885,0.005,0.8808
1254,135.7,135.725,0.025,0.8808
1255,504.155,504.16,0.005,0.8808
1256,564.52,564.525,0.005,0.8808
1257,491.955,491.96,0.005,0.8808
1258,330.2,330.205,0.005,0.8808
1259,75.88,75.885,0.005,0.8808
1260,55.275,55.36,0.085,0.8808
1261,182.03,182.035,0.005,0.8807
1262,200.395,200.4,0.005,0.8807
1263,689.415,689.42,0.005,0.8807
1264,567.195,567.2,0.005,0.8807
1265,897.05,897.055,0.005,0.8806
1266,57.435,57.44,0.005,0.8806
1267,728.535,728.54,0.005,0.8806
1268,709.66,709.665,0.005,0.8806
1269,1189.795,1189.81,0.015,0.8806
1270,966.9,966.905,0.005,0.8806
1271,41.5,41.505,0.005,0.8806
1272,523.465,523.47,0.005,0.8805
1273,699.51,699.515,0.005,0.8805
1274,886.72,886.725,0.005,0.8805
1275,137.34,137.345,0.005,0.8805
1276,791.865,791.87,0.005,0.8805
1277,500.17,500.175,0.005,0.8805
1278,175.42,175.425,0.005,0.8805
1279,896.05,896.055,0.005,0.8805
1280,713.38,713.385,0.005,0.8804
1281,208.335,208.34,0.005,0.8804
1282,899.445,899.45,0.005,0.8804
1283,792.245,792.25,0.005,0.8804
1284,1054.145,1054.15,0.005,0.8804
1285,1204.725,1204.73,0.005,0.8804
1286,20.245,20.25,0.005,0.8804
1287,130.485,130.49,0.005,0.8803
1288,471.05,471.055,0.005,0.8803
1289,71.85,71.855,0.005,0.8803
1290,911.195,911.2,0.005,0.8803
1291,244.785,244.79,0.005,0.8803
1292,890.675,890.68,0.005,0.8802
1293,573.27,573.275,0.005,0.8802
1294,653.735,653.74,0.005,0.8802
1295,503.445,503.45,0.005,0.8802
1296,182.93,182.935,0.005,0.8802
1297,970.375,970.38,0.005,0.8802
1298,666.85,666.855,0.005,0.8802
1299,923.0,923.005,0.005,0.8802
1300,158.975,158.98,0.005,0.8801
1301,696.77,696.775,0.005,0.8801
1302,569.155,569.16,0.005,0.8801
1303,324.545,324.55,0.005,0.8801
1304,1042.54,1042.545,0.005,0.88
1305,254.36,254.365,0.005,0.88
1306,547.98,547.985,0.005,0.88
1307,137.5,137.505,0.005,0.88
1308,443.51,443.515,0.005,0.88
1309,262.215,262.22,0.005,0.88
1310,499.17,499.22,0.05,0.8799
1311,504.645,504.65,0.005,0.8799
1312,172.095,172.15,0.055,0.8799
1313,687.77,687.775,0.005,0.8799
1314,732.76,732.765,0.005,0.8799
1315,899.745,899.75,0.005,0.8799
1316,185.235,185.24,0.005,0.8799
1317,166.27,166.275,0.005,0.8798
1318,631.69,631.695,0.005,0.8798
1319,672.04,672.045,0.005,0.8798
1320,229.08,229.115,0.035,0.8798
1321,620.68,620.685,0.005,0.8798
1322,570.62,570.625,0.005,0.8798
1323,64.81,64.815,0.005,0.8797
1324,565.3,565.305,0.005,0.8797
1325,729.765,729.77,0.005,0.8797
1326,740.565,740.57,0.005,0.8797
1327,605.345,605.35,0.005,0.8797
1328,170.545,170.55,0.005,0.8797
1329,651.935,651.94,0.005,0.8797
1330,713.88,713.885,0.005,0.8796
1331,154.175,154.18,0.005,0.8796
1332,643.005,643.01,0.005,0.8796
1333,354.305,354.31,0.005,0.8796
1334,136.84,136.845,0.005,0.8796
1335,170.21,170.215,0.005,0.8796
1336,937.44,937.445,0.005,0.8796
1337,1181.765,1181.77,0.005,0.8796
1338,1197.735,1197.74,0.005,0.8796
1339,652.935,652.94,0.005,0.8795
1340,531.065,531.07,0.005,0.8795
1341,126.73,126.735,0.005,0.8795
1342,258.2,258.285,0.085,0.8795
1343,86.945,86.95,0.005,0.8795
1344,297.585,297.59,0.005,0.8795
1345,93.705,93.71,0.005,0.8794
1346,59.875,59.88,0.005,0.8794
1347,585.665,585.67,0.005,0.8794
1348,935.545,935.55,0.005,0.8794
1349,695.95,695.955,0.005,0.8794
1350,48.895,48.9,0.005,0.8794
1351,712.5,712.505,0.005,0.8794
1352,725.27,725.275,0.005,0.8793
1353,789.15,789.155,0.005,0.8793
1354,680.985,681.07,0.085,0.8793
1355,635.365,635.37,0.005,0.8793
1356,472.325,472.33,0.005,0.8793
1357,677.23,677.235,0.005,0.8793
1358,77.655,77.66,0.005,0.8793
1359,66.11,66.115,0.005,0.8793
1360,631.81,631.815,0.005,0.8793
1361,126.84,126.895,0.055,0.8793
1362,940.775,940.78,0.005,0.8793
1363,29.315,29.32,0.005,0.8792
1364,598.675,598.68,0.005,0.8792
1365,1202.965,1202.97,0.005,0.8792
1366,1006.48,1006.485,0.005,0.8792
1367,176.995,177.0,0.005,0.8792
1368,669.085,669.09,0.005,0.8792
1369,506.565,506.57,0.005,0.8792
1370,690.495,690.5,0.005,0.8791
1371,687.52,687.525,0.005,0.8791
1372,1286.865,1286.87,0.005,0.8791
1373,876.91,876.915,0.005,0.8791
1374,255.455,255.51,0.055,0.879
1375,832.365,832.37,0.005,0.879
1376,696.09,696.095,0.005,0.879
1377,662.07,662.075,0.005,0.879
1378,656.53,656.535,0.005,0.879
1379,721.055,721.06,0.005,0.879
1380,159.515,159.52,0.005,0.879
1381,920.205,920.21,0.005,0.879
1382,21.035,21.04,0.005,0.879
1383,129.285,129.29,0.005,0.879
1384,78.315,78.32,0.005,0.879
1385,171.045,171.05,0.005,0.8789
1386,237.325,237.33,0.005,0.8789
1387,159.885,159.92,0.035,0.8789
1388,874.755,874.76,0.005,0.8789
1389,698.33,698.335,0.005,0.8789
1390,135.9,135.905,0.005,0.8789
1391,570.235,570.24,0.005,0.8789
1392,563.11,563.165,0.055,0.8789
1393,93.545,93.55,0.005,0.8789
1394,56.815,56.82,0.005,0.8789
1395,333.8,333.825,0.025,0.8788
1396,133.58,133.585,0.005,0.8788
1397,38.56,38.565,0.005,0.8788
1398,73.18,73.185,0.005,0.8788
1399,696.57,696.575,0.005,0.8788
1400,590.35,590.355,0.005,0.8788
1401,25.39,25.395,0.005,0.8788
1402,671.1,671.105,0.005,0.8788
1403,662.58,662.585,0.005,0.8787
1404,639.065,639.07,0.005,0.8787
1405,580.82,580.825,0.005,0.8787
1406,583.315,583.32,0.005,0.8787
1407,646.92,646.925,0.005,0.8787
1408,661.56,661.565,0.005,0.8787
1409,87.085,87.09,0.005,0.8787
1410,141.235,141.24,0.005,0.8787
1411,949.195,949.2,0.005,0.8786
1412,247.86,247.865,0.005,0.8786
1413,395.39,395.395,0.005,0.8786
1414,354.605,354.61,0.005,0.8786
1415,1001.485,1001.49,0.005,0.8786
1416,733.94,733.945,0.005,0.8786
1417,122.755,122.76,0.005,0.8785
1418,56.515,56.52,0.005,0.8785
1419,135.82,135.825,0.005,0.8785
1420,682.445,682.45,0.005,0.8785
1421,93.045,93.05,0.005,0.8784
1422,245.965,245.97,0.005,0.8784
1423,653.035,653.04,0.005,0.8784
1424,87.465,87.47,0.005,0.8784
1425,645.5,645.505,0.005,0.8784
1426,725.65,725.655,0.005,0.8784
1427,179.855,179.86,0.005,0.8784
1428,923.14,923.145,0.005,0.8783
1429,851.93,851.935,0.005,0.8783
1430,665.49,665.495,0.005,0.8783
1431,126.41,126.415,0.005,0.8783
1432,583.715,583.72,0.005,0.8783
1433,262.635,262.68,0.045,0.8782
1434,166.43,166.435,0.005,0.8782
1435,1196.63,1196.635,0.005,0.8782
1436,45.925,45.93,0.005,0.8782
1437,910.435,910.44,0.005,0.8782
1438,915.85,915.855,0.005,0.8782
1439,227.42,227.425,0.005,0.8782
1440,28.915,28.92,0.005,0.8782
1441,720.595,720.6,0.005,0.8782
1442,859.205,859.21,0.005,0.8782
