rank,start_s,end_s,duration_s,similarity
169,110.03,110.075,0.045,0.9218
170,531.75,531.795,0.045,0.9217
171,206.655,206.7,0.045,0.9216
172,112.21,112.255,0.045,0.9216
173,489.405,489.425,0.02,0.9214
174,990.06,990.08,0.02,0.9214
175,691.735,691.78,0.045,0.9213
176,655.61,655.655,0.045,0.9213
177,681.965,682.01,0.045,0.9212
178,646.66,646.705,0.045,0.9212
179,1194.77,1194.82,0.05,0.9212
180,650.87,650.88,0.01,0.9211
181,665.77,665.815,0.045,0.9211
182,1157.39,1157.425,0.035,0.9209
183,48.095,48.12,0.025,0.9209
184,87.525,87.55,0.025,0.9206
185,60.415,60.44,0.025,0.9204
186,924.24,924.285,0.045,0.9204
187,82.15,82.195,0.045,0.9204
188,1021.875,1021.92,0.045,0.9202
189,926.935,927.0,0.065,0.9202
190,652.235,652.26,0.025,0.92
191,54.475,54.52,0.045,0.9199
192,691.315,691.38,0.065,0.9199
193,485.085,485.115,0.03,0.9199
194,650.17,650.205,0.035,0.9198
195,654.435,654.475,0.04,0.9198
196,293.155,293.175,0.02,0.9198
197,132.94,132.985,0.045,0.9197
198,895.59,895.615,0.025,0.9196
199,639.845,639.87,0.025,0.9195
200,441.59,441.61,0.02,0.9195
201,157.635,157.66,0.025,0.9195
202,111.37,111.415,0.045,0.9192
203,590.415,590.45,0.035,0.9192
204,106.235,106.28,0.045,0.9191
205,3.645,3.69,0.045,0.9191
206,827.37,827.415,0.045,0.9189
207,983.89,983.935,0.045,0.9189
208,99.26,99.285,0.025,0.9189
209,661.06,661.085,0.025,0.9188
210,1202.5,1202.525,0.025,0.9188
211,656.955,656.975,0.02,0.9188
212,652.095,652.12,0.025,0.9188
213,469.765,469.795,0.03,0.9187
214,710.34,710.365,0.025,0.9187
215,710.66,710.685,0.025,0.9186
216,506.105,506.13,0.025,0.9186
217,916.13,916.175,0.045,0.9186
218,926.815,926.84,0.025,0.9186
219,60.135,60.16,0.025,0.9186
220,133.095,133.155,0.06,0.9186
221,535.975,535.995,0.02,0.9186
222,719.335,719.38,0.045,0.9186
223,116.405,116.435,0.03,0.9185
224,688.3,688.345,0.045,0.9184
225,119.12,119.145,0.025,0.9183
226,543.23,543.245,0.015,0.9183
227,242.59,242.635,0.045,0.9181
228,516.115,516.14,0.025,0.9181
229,1181.35,1181.375,0.025,0.9181
230,635.685,635.73,0.045,0.9181
231,407.09,407.11,0.02,0.9181
232,932.37,932.415,0.045,0.9179
233,154.955,154.98,0.025,0.9178
234,667.805,667.83,0.025,0.9177
235,637.005,637.03,0.025,0.9176
236,511.52,511.545,0.025,0.9176
237,121.475,121.52,0.045,0.9173
238,686.24,686.305,0.065,0.9172
239,890.055,890.08,0.025,0.9172
240,253.75,253.815,0.065,0.9171
241,195.515,195.56,0.045,0.9171
242,120.835,120.86,0.025,0.917
243,172.01,172.05,0.04,0.9169
244,55.135,55.16,0.025,0.9169
245,66.43,66.455,0.025,0.9169
246,663.935,663.96,0.025,0.9169
247,744.44,744.465,0.025,0.9165
248,172.845,172.87,0.025,0.9165
249,639.985,640.03,0.045,0.9165
250,674.755,674.78,0.025,0.9165
251,929.015,929.05,0.035,0.9165
252,175.05,175.095,0.045,0.9163
253,122.695,122.71,0.015,0.9163
254,1193.715,1193.755,0.04,0.9163
255,723.71,723.755,0.045,0.9163
256,189.24,189.285,0.045,0.9163
257,630.45,630.475,0.025,0.9162
258,545.63,545.67,0.04,0.9161
259,477.8,477.82,0.02,0.916
260,97.54,97.565,0.025,0.916
261,57.345,57.38,0.035,0.9159
262,108.355,108.38,0.025,0.9158
263,560.605,560.67,0.065,0.9158
264,542.63,542.675,0.045,0.9157
265,80.815,80.825,0.01,0.9157
266,649.34,649.365,0.025,0.9156
267,1048.645,1048.675,0.03,0.9156
268,590.815,590.88,0.065,0.9156
269,704.285,704.33,0.045,0.9155
270,1118.875,1118.905,0.03,0.9155
271,156.415,156.44,0.025,0.9154
272,96.92,96.945,0.025,0.9154
273,240.55,240.565,0.015,0.9153
274,147.875,147.9,0.025,0.9153
275,447.0,447.06,0.06,0.9152
276,153.795,153.82,0.025,0.9151
277,92.165,92.21,0.045,0.9151
278,117.11,117.155,0.045,0.9151
279,614.925,614.935,0.01,0.915
280,115.565,115.59,0.025,0.915
281,212.315,212.34,0.025,0.9149
282,620.98,621.025,0.045,0.9148
283,635.865,635.91,0.045,0.9148
284,642.855,642.885,0.03,0.9147
285,624.375,624.4,0.025,0.9146
286,671.44,671.465,0.025,0.9146
287,505.685,505.75,0.065,0.9146
288,150.11,150.14,0.03,0.9146
289,46.095,46.11,0.015,0.9145
290,152.215,152.25,0.035,0.9144
291,671.65,671.685,0.035,0.9144
292,681.305,681.32,0.015,0.9143
293,666.07,666.115,0.045,0.9142
294,128.24,128.27,0.03,0.9141
295,709.56,709.585,0.025,0.9141
296,673.715,673.78,0.065,0.9141
297,124.47,124.505,0.035,0.914
298,580.62,580.665,0.045,0.914
299,3.84,3.855,0.015,0.9139
300,211.715,211.74,0.025,0.9139
301,70.085,70.11,0.025,0.9138
302,592.945,592.995,0.05,0.9137
303,106.555,106.58,0.025,0.9136
304,1191.8,1191.82,0.02,0.9135
305,29.245,29.26,0.015,0.9135
306,1192.6,1192.62,0.02,0.9135
307,540.375,540.4,0.025,0.9134
308,451.335,451.37,0.035,0.9128
309,151.605,151.62,0.015,0.9126
310,696.47,696.505,0.035,0.9125
311,121.145,121.18,0.035,0.9125
312,920.525,920.55,0.025,0.9122
313,881.145,881.17,0.025,0.9122
314,685.76,685.805,0.045,0.9121
315,1159.24,1159.255,0.015,0.912
316,648.24,648.265,0.025,0.9119
317,260.395,260.41,0.015,0.9118
318,261.805,261.82,0.015,0.9118
319,168.95,168.965,0.015,0.9118
320,121.715,121.74,0.025,0.9117
321,564.3,564.365,0.065,0.9117
322,402.25,402.28,0.03,0.9117
323,928.135,928.2,0.065,0.9116
324,891.855,891.92,0.065,0.9116
325,547.525,547.535,0.01,0.9116
326,0.43,0.44,0.01,0.9116
327,629.95,630.015,0.065,0.9115
328,155.435,155.46,0.025,0.9115
329,504.465,504.51,0.045,0.9115
330,982.49,982.515,0.025,0.9115
331,251.585,251.61,0.025,0.9114
332,564.76,564.77,0.01,0.9114
333,237.375,237.4,0.025,0.9113
334,211.175,211.24,0.065,0.9112
335,135.0,135.045,0.045,0.9112
336,87.335,87.38,0.045,0.9112
337,654.94,654.975,0.035,0.911
338,209.755,209.78,0.025,0.911
339,577.485,577.51,0.025,0.911
340,271.805,271.825,0.02,0.911
341,663.855,663.88,0.025,0.911
342,1187.42,1187.43,0.01,0.9109
343,652.315,652.34,0.025,0.9109
344,537.54,537.605,0.065,0.9108
345,690.175,690.24,0.065,0.9106
346,515.495,515.52,0.025,0.9106
347,724.81,724.835,0.025,0.9106
348,479.17,479.185,0.015,0.9106
349,655.12,655.155,0.035,0.9105
350,206.855,206.88,0.025,0.9105
351,585.895,585.92,0.025,0.9104
352,561.98,561.995,0.015,0.9104
353,234.22,234.23,0.01,0.9103
354,146.835,146.845,0.01,0.9102
355,1193.815,1193.84,0.025,0.9102
356,119.35,119.385,0.035,0.9101
357,700.05,700.075,0.025,0.9101
358,173.745,173.755,0.01,0.9101
359,56.015,56.04,0.025,0.91
360,147.945,147.98,0.035,0.91
361,951.18,951.195,0.015,0.9099
362,479.0,479.055,0.055,0.9099
363,644.1,644.12,0.02,0.9098
364,548.84,548.905,0.065,0.9097
365,547.415,547.475,0.06,0.9095
366,519.39,519.415,0.025,0.9095
367,655.47,655.535,0.065,0.9095
368,794.88,794.905,0.025,0.9095
369,49.695,49.74,0.045,0.9094
370,914.07,914.135,0.065,0.9094
371,719.875,719.94,0.065,0.9093
372,741.105,741.12,0.015,0.9093
