start_s,end_s,duration_s,class,confidence
0.125,0.16,0.035,vocal,0.9611
0.22,0.275,0.055,vocal,0.9794
0.475,0.48,0.005,click,0.8245
0.56,0.615,0.055,vocal,0.9645
0.705,0.72,0.015,vocal,0.5658
0.89,0.91,0.02,vocal,0.9045
1.05,1.07,0.02,vocal,0.8708
1.47,1.48,0.01,water,0.4243
2.19,2.195,0.005,click,0.7914
2.93,2.935,0.005,click,0.784
3.515,3.54,0.025,vocal,0.8763
3.59,3.595,0.005,click,0.7881
3.77,3.775,0.005,click,0.7655
3.83,3.925,0.095,vocal,0.7031
4.14,4.185,0.045,water,0.4803
4.5,4.515,0.015,vocal,0.5045
4.57,4.655,0.085,vocal,0.8291
4.71,4.735,0.025,water,0.5354
4.82,4.825,0.005,click,0.8365
5.34,5.345,0.005,click,0.773
5.83,5.835,0.005,click,0.812
5.88,5.975,0.095,vocal,0.6329
6.16,6.175,0.015,water,0.4358
6.24,6.245,0.005,click,0.6925
6.37,6.385,0.015,vocal,0.4087
6.44,6.445,0.005,click,0.7551
6.79,6.795,0.005,click,0.7748
7.02,7.025,0.005,click,0.7471
7.09,7.095,0.005,click,0.7741
7.24,7.245,0.005,click,0.6956
7.31,7.335,0.025,vocal,0.8521
7.4,7.405,0.005,click,0.7385
7.64,7.645,0.005,click,0.7922
8.29,8.305,0.015,vocal,0.5334
8.36,8.425,0.065,vocal,0.9793
8.61,8.615,0.005,click,0.7775
8.68,8.685,0.005,click,0.7879
8.775,8.805,0.03,vocal,0.7822
8.95,8.985,0.035,vocal,0.803
9.13,9.135,0.005,click,0.7916
9.21,9.215,0.005,click,0.7533
9.3,9.305,0.005,click,0.724
9.36,9.365,0.005,click,0.6049
9.54,9.545,0.005,click,0.7066
9.64,9.645,0.005,click,0.792
9.72,9.765,0.045,vocal,0.9413
9.96,9.965,0.005,click,0.7913
10.02,10.025,0.005,click,0.8076
10.1,10.105,0.005,click,0.7923
10.38,10.445,0.065,vocal,0.8887
11.46,11.465,0.005,click,0.7607
11.53,11.535,0.005,click,0.8092
11.76,11.765,0.005,click,0.7803
12.07,12.085,0.015,vocal,0.597
12.48,12.485,0.005,click,0.8361
12.55,12.565,0.015,water,0.4319
12.72,12.725,0.005,click,0.7818
12.8,12.805,0.005,click,0.7372
12.91,12.925,0.015,vocal,0.4477
13.18,13.185,0.005,click,0.8358
13.67,13.685,0.015,vocal,0.4325
14.13,14.185,0.055,vocal,0.9331
14.58,14.585,0.005,click,0.7823
14.635,14.64,0.005,click,0.7234
14.81,14.815,0.005,click,0.7861
15.87,15.875,0.005,click,0.7895
16.26,16.265,0.005,click,0.8746
16.42,16.425,0.005,click,0.7579
